ACSSF,2012e1,co,000,0058,0000021,117733,29615,17506,12156,10346,1810,5350,12109,8083,7124,959,4026,63278,32401,24303,22459,1844,8098,30877,18626,17469,1157,12251,2290,1554,1140,1026,114,414,736,655,500,155,81,8563,1752,370,370,0,1382,6811,1465,1465,0,5346,13987,6080,3923,3476,447,2157,7907,5032,4716,316,2875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000022,126913,35725,18905,12026,10036,1990,6879,16820,10516,8297,2219,6304,61685,30747,19382,18209,1173,11365,30938,16648,15380,1268,14290,2782,1185,1030,1030,0,155,1597,1148,959,189,449,8086,1730,575,480,95,1155,6356,929,896,33,5427,18635,9010,6136,5335,801,2874,9625,5809,5283,526,3816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000023,198211,49609,27722,18914,15840,3074,8808,21887,14303,13538,765,7584,113641,55688,44518,42876,1642,11170,57953,35612,33412,2200,22341,3269,1484,992,908,84,492,1785,1233,1145,88,552,7886,1969,414,389,25,1555,5917,1318,1197,121,4599,23806,11671,9564,8481,1083,2107,12135,8883,8132,751,3252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000024,87434,21892,11386,8664,7485,1179,2722,10506,8212,7390,822,2294,47145,23741,17944,17055,889,5797,23404,14774,14155,619,8630,832,337,214,214,0,123,495,217,161,56,278,4667,1432,350,350,0,1082,3235,397,334,63,2838,12898,5248,3861,3435,426,1387,7650,4991,4669,322,2659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000025,257724,84219,45907,35635,28985,6650,10272,38312,28077,24872,3205,10235,115886,58004,46705,43976,2729,11299,57882,35103,32576,2527,22779,9896,5150,4318,3996,322,832,4746,3388,3045,343,1358,11682,1854,587,516,71,1267,9828,2401,2304,97,7427,36041,16258,11784,10332,1452,4474,19783,14109,13058,1051,5674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000026,88563,47372,24737,16215,14392,1823,8522,22635,15378,13569,1809,7257,30759,15751,12884,12426,458,2867,15008,9590,9356,234,5418,657,247,128,128,0,119,410,369,369,0,41,1812,180,112,112,0,68,1632,175,175,0,1457,7963,3251,2258,2218,40,993,4712,3114,3034,80,1598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000027,80566,17172,9117,5403,4287,1116,3714,8055,5414,5080,334,2641,50798,25627,20651,19800,851,4976,25171,16214,15867,347,8957,928,605,414,323,91,191,323,323,323,0,0,3174,774,264,264,0,510,2400,473,473,0,1927,8494,2769,2214,2018,196,555,5725,4544,4358,186,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000028,339727,99036,55406,40011,33242,6769,15395,43630,29664,24936,4728,13966,173959,87431,67977,65231,2746,19454,86528,51331,48290,3041,35197,6801,2519,1789,1745,44,730,4282,3435,3148,287,847,16264,4159,1534,1377,157,2625,12105,2654,2388,266,9451,43667,17578,12167,11170,997,5411,26089,18694,17074,1620,7395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000029,508571,209199,113162,88614,81448,7166,24548,96037,72570,66454,6116,23467,194070,97811,78586,75570,3016,19225,96259,58420,54658,3762,37839,13046,5489,4070,3362,708,1419,7557,5301,4831,470,2256,21939,4559,1173,908,265,3386,17380,4907,4735,172,12473,70317,32120,20982,18095,2887,11138,38197,25983,24439,1544,12214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000030,123038,51047,26001,19013,17327,1686,6988,25046,17145,15581,1564,7901,55945,28455,23043,21946,1097,5412,27490,18306,16898,1408,9184,986,334,298,176,122,36,652,498,468,30,154,3435,636,71,36,35,565,2799,527,527,0,2272,11625,4921,3668,3325,343,1253,6704,4700,4199,501,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
