ACSSF,2012e1,co,000,0178,0000041,69445,55251,15368,39883,14194,3769,10425,69445,19137,50308,8512,187,8325,131839,4702,127137,131839,3606,128233,131839,20382,111457,123327,2216,121111,131839,2777,129062,131839,1446,130393,335791,32509,303282,335791,30581,305210,335791,30917,304874,335791,24538,311253,335791,26116,309675,335791,19608,316183,335791,28243,307548,335791,25855,309936,335791,27547,308244
ACSSF,2012e1,co,000,0178,0000042,128521,99762,33137,66625,28759,7660,21099,128521,40797,87724,17752,139,17613,288191,10309,277882,288191,9644,278547,288191,48391,239800,270439,4706,265733,288191,5049,283142,288191,2505,285686,627400,53758,573642,627400,51620,575780,627400,50853,576547,627400,36872,590528,627400,41350,586050,627400,29809,597591,627400,44106,583294,627400,46436,580964,627400,46727,580673
ACSSF,2012e1,co,000,0178,0000043,30180,23845,7897,15948,6335,1992,4343,30180,9889,20291,1944,0,1944,60345,1901,58444,60345,600,59745,60345,4934,55411,58401,580,57821,60345,1019,59326,60345,317,60028,146789,18151,128638,146789,17778,129011,146789,17124,129665,146789,14554,132235,146789,14870,131919,146789,12475,134314,146789,16242,130547,146789,16362,130427,146789,16106,130683
ACSSF,2012e1,co,000,0178,0000044,18886,13810,4945,8865,5076,2046,3030,18886,6991,11895,811,0,811,29528,290,29238,29528,234,29294,29528,2386,27142,28717,982,27735,29528,257,29271,29528,162,29366,69805,9404,60401,69805,9188,60617,69805,9222,60583,69805,7077,62728,69805,7871,61934,69805,6395,63410,69805,8689,61116,69805,8784,61021,69805,8916,60889
ACSSF,2012e1,co,000,0178,0000045,18872,13233,5144,8089,5639,1564,4075,18872,6708,12164,2254,235,2019,35535,1646,33889,35535,832,34703,35535,6659,28876,33281,1049,32232,35535,1211,34324,35535,415,35120,93671,22528,71143,93671,22104,71567,93671,22010,71661,93671,20418,73253,93671,20586,73085,93671,19381,74290,93671,21057,72614,93671,21298,72373,93671,21180,72491
ACSSF,2012e1,co,000,0178,0000046,23981,15425,5272,10153,8556,3052,5504,23981,8324,15657,5282,269,5013,47655,1302,46353,47655,798,46857,47655,10068,37587,42373,1500,40873,47655,704,46951,47655,745,46910,104768,13050,91718,104768,12164,92604,104768,12795,91973,104768,8842,95926,104768,9725,95043,104768,6362,98406,104768,11093,93675,104768,11278,93490,104768,11598,93170
ACSSF,2012e1,co,000,0178,0000047,161250,125413,41583,83830,35837,9498,26339,161250,51081,110169,19501,139,19362,337813,12596,325217,337813,9953,327860,337813,54514,283299,318312,5678,312634,337813,6901,330912,337813,3331,334482,742789,64540,678249,742789,62117,680672,742789,61244,681545,742789,44038,698751,742789,49737,693052,742789,35757,707032,742789,53637,689152,742789,56323,686466,742789,56164,686625
ACSSF,2012e1,co,000,0178,0000048,198231,146278,49335,96943,51953,15456,36497,198231,64791,133440,58000,406,57594,355209,14588,340621,355209,7005,348204,355209,31411,323798,297209,4055,293154,355209,12443,342766,355209,3343,351866,738458,78387,660071,738458,76357,662101,738458,74939,663519,738458,57578,680880,738458,62412,676046,738458,50057,688401,738458,69766,668692,738458,71218,667240,738458,70660,667798
ACSSF,2012e1,co,000,0178,0000049,195841,126908,46167,80741,68933,20003,48930,195841,66170,129671,72677,838,71839,358120,20490,337630,358120,6983,351137,358120,49458,308662,285443,6140,279303,358120,18777,339343,358120,7714,350406,710957,80898,630059,710957,77507,633450,710957,78087,632870,710957,59474,651483,710957,64190,646767,710957,49814,661143,710957,70410,640547,710957,71964,638993,710957,70491,640466
ACSSF,2012e1,co,000,0178,0000050,188375,139462,46772,92690,48913,15883,33030,188375,62655,125720,23018,1181,21837,288767,11962,276805,288767,3176,285591,288767,38310,250457,265749,4811,260938,288767,9445,279322,288767,4795,283972,725048,109104,615944,725048,106327,618721,725048,105705,619343,725048,90768,634280,725048,93809,631239,725048,79731,645317,725048,99353,625695,725048,100765,624283,725048,99623,625425
ACSSF,2012e1,co,000,0178,0000051,178624,132274,47058,85216,46350,14166,32184,178624,61224,117400,32231,968,31263,307614,13629,293985,307614,4925,302689,307614,43057,264557,275383,5176,270207,307614,10865,296749,307614,4364,303250,697143,82459,614684,697143,78261,618882,697143,79764,617379,697143,60381,636762,697143,66893,630250,697143,51158,645985,697143,72698,624445,697143,63389,633754,697143,71030,626113
ACSSF,2012e1,co,000,0178,0000052,175675,140116,41330,98786,35559,10348,25211,175675,51678,123997,14182,346,13836,286418,10888,275530,286418,6456,279962,286418,34232,252186,272236,5205,267031,286418,6604,279814,286418,2778,283640,742189,68940,673249,742189,66064,676125,742189,66140,676049,742189,50466,691723,742189,55255,686934,742189,42419,699770,742189,61184,681005,742189,58895,683294,742189,60938,681251
ACSSF,2012e1,co,000,0178,0000053,180162,134588,44327,90261,45574,13913,31661,180162,58240,121922,14839,98,14741,296595,7969,288626,296595,3402,293193,296595,36549,260046,281756,6280,275476,296595,5165,291430,296595,2237,294358,738182,65722,672460,738182,63337,674845,738182,60961,677221,738182,45870,692312,738182,49310,688872,738182,34339,703843,738182,54991,683191,738182,56478,681704,738182,56174,682008
ACSSF,2012e1,co,000,0178,0000054,27704,14268,5731,8537,13436,3810,9626,27704,9541,18163,6685,708,5977,46021,3441,42580,46021,562,45459,46021,9291,36730,39336,742,38594,46021,3348,42673,46021,1610,44411,100743,13121,87622,100743,12304,88439,100743,11820,88923,100743,9735,91008,100743,9399,91344,100743,6716,94027,100743,10264,90479,100743,10957,89786,100743,10353,90390
