ACSSF,2012m1,co,000,0058,0000021,823,2382,1510,1391,1443,631,918,1507,1487,1439,445,1074,3875,2071,2009,1952,739,1250,2262,2055,2078,685,1729,976,857,713,666,198,367,388,370,350,184,102,1297,667,320,320,189,588,880,713,713,189,708,1951,1050,796,812,351,676,1353,1159,1120,278,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000022,532,2382,1569,1518,1403,585,1197,1577,1220,1069,869,1112,2904,1758,1634,1604,496,1231,1634,1654,1632,534,1258,922,566,557,557,189,116,642,532,486,236,317,965,519,326,292,117,378,771,378,376,54,802,2047,1352,1245,1175,391,655,1319,1039,1013,368,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000023,695,2799,1977,1927,1741,1060,1726,1569,1310,1295,329,1014,4590,2447,2533,2509,599,1153,2758,2637,2595,715,2107,709,440,404,389,95,291,575,513,500,105,275,1089,607,233,231,40,546,940,493,481,140,782,2535,1558,1443,1352,555,592,1768,1469,1481,382,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000024,1860,2269,1644,1670,1504,622,731,1709,1701,1658,438,604,3072,1567,1501,1432,379,993,1637,1226,1235,273,1081,405,243,171,171,189,194,335,187,158,94,276,761,390,235,235,189,401,667,233,208,105,660,1998,1150,1075,938,423,502,1338,1194,1130,270,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000025,3395,4290,3427,3426,3221,1274,1548,2502,2742,2678,829,1546,4437,2450,2371,2255,797,1266,2485,2263,2174,790,2165,1734,1435,1315,1269,288,554,946,829,844,266,572,1339,557,345,290,116,460,1209,598,598,112,1130,2769,1692,1413,1321,581,1153,2077,1861,1823,439,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000026,1622,2431,2123,1758,1840,630,1857,1679,1713,1409,712,1349,2458,1308,1267,1229,294,536,1326,1331,1343,169,876,315,204,151,151,189,130,250,240,240,189,72,527,170,145,145,189,96,506,164,164,189,461,1212,815,795,782,68,394,954,874,848,133,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000027,1915,1445,1140,1128,989,470,837,986,954,935,212,631,2316,1249,1246,1230,276,867,1222,1219,1193,221,1050,489,422,289,263,122,313,229,229,229,189,189,757,350,198,198,189,249,638,273,273,189,572,1337,618,614,560,166,227,1094,920,895,230,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000028,3324,4450,2984,2921,2690,1179,1957,2920,2451,2541,1177,1819,6354,3469,2994,2947,786,1939,3422,3226,3147,1018,2647,1688,1008,819,813,73,530,1331,1167,1155,263,604,1913,1008,599,555,196,730,1463,834,817,209,1339,3272,2043,1838,1812,524,1134,2328,2032,2041,564,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000029,1226,5252,3312,3372,3192,1208,2438,3173,3032,3036,1339,2734,6789,4031,3591,3661,844,2033,3629,2944,2939,1055,2688,2097,1420,1218,1066,693,704,1571,1265,1250,330,922,2138,967,602,557,242,751,1606,1156,1130,159,1087,4555,3056,2240,2066,958,1902,2762,2537,2584,664,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000030,2033,2352,1521,1606,1712,613,1184,1682,1838,1773,517,1432,2979,1634,1799,1901,652,934,1576,1474,1398,611,1142,431,251,253,164,195,71,337,292,291,40,161,757,381,84,59,60,365,641,294,294,189,582,1762,1035,962,947,221,504,1154,1038,1003,256,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
