ACSSF,2012m1,co,000,0103,0000021,1917,2930,3762,3109,2169,3318,1602,2923,4343,4226,3323,2309,3333,1642,21145,18970,38676,1910,.,.,.,47032,78794,54086,.,9431,21031,8230,,,,,,,,72404,311,.,.,3251,.,3251,15634,21680,34895,11351,5247,27392,8427,8541,6112,11743,4505,14332,31014,.,3052,4646,4442,3178,2256,1856,1538,3050,5539,7306,10270,7019,6460,7581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0103,0000022,1409,2744,1309,2061,1728,1738,1843,1378,2983,3075,3195,1714,2276,2067,4778,3261,1875,2270,23823,12947,.,13154,13489,2446,4134,15095,25099,1725,,,,,,,,.,.,.,.,.,.,.,8163,8464,9365,4197,5684,7437,1577,14747,11366,13418,6994,2393,10423,1398,3704,4818,4909,2964,2319,3414,3054,2166,2102,3441,3000,2939,3423,2574,381,302,985,189,985,344,571,686,702,536,296,1022,880,1028,699,649,300,127,225,189,277,1157,189,1157,198,596,492,756,543,204,1149,1351,1127,909,559,418,173,189,64
ACSSF,2012m1,co,000,0103,0000023,2264,2854,2360,1626,1874,1616,1606,921,1546,2530,1693,2019,2028,1943,14809,54106,2948,4695,15148,19523,5978,,,,,,,,9273,31707,55960,523,6703,33979,8819,.,.,.,.,.,.,.,4245,4890,7808,1162,6980,4415,1908,9383,30572,6974,.,8413,17574,4106,1386,2571,1563,1933,1527,2084,1980,1992,3503,5771,8610,3978,5215,3611,418,297,1219,189,1219,213,643,906,981,541,528,1239,830,1217,1143,1166,448,384,125,189,345,1471,189,1471,320,794,543,774,508,229,1377,1339,1164,788,736,493,204,189,189
ACSSF,2012m1,co,000,0103,0000024,1462,3454,4002,2349,4093,4408,1882,2043,3491,4469,2768,3634,5698,1866,,,,,,,,80259,159,.,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,8967,10120,36612,24411,10794,4680,28082,19352,22764,28923,2152,24850,20353,1497,2783,4198,4489,3432,4204,7106,2360,5552,11849,17367,8544,8781,1627,7912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0103,0000025,1659,1393,1211,1042,1446,1840,886,910,2873,2243,1875,1545,1426,1875,2445,2231,6484,1251,3395,5668,1144,,,,,,,,4286,6723,11249,6312,9357,12473,3522,42084,49145,10524,.,.,.,.,4604,4621,7888,7587,12508,5122,1568,4996,8421,8171,5252,6454,5584,6587,1361,1450,1509,1966,2975,3361,1448,829,1669,3898,2975,3427,4849,1425,3318,2105,2167,189,2167,450,1125,1221,1291,768,460,1448,783,1425,1081,803,854,490,246,140,1977,1268,189,1268,378,694,917,910,477,303,1783,1229,1511,1083,788,551,248,189,189
ACSSF,2012m1,co,000,0103,0000026,1373,6318,6846,1286,2981,5769,958,1964,3772,8512,1334,3041,5585,1012,,,,,,,,.,.,.,.,.,.,.,12846,13610,26471,9241,5321,77115,4940,.,.,.,.,.,.,.,,,,,,,,8294,4529,177041,5684,18167,17704,6923,1675,4603,11767,1241,3102,6609,1024,7323,9148,15249,12441,11573,9205,4398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0103,0000027,4016,3094,4443,4794,3539,5189,1713,3367,4483,5049,4929,5835,4525,2600,,,,,,,,,,,,,,,11256,11899,18713,130220,24794,35750,5807,10031,10172,30937,10212,109896,.,131,12988,56010,40570,6214,15011,16235,18463,,,,,,,,3281,4672,4928,4693,6400,4373,2265,12782,19557,46180,1136,18017,7416,12880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0103,0000028,2080,1758,2627,1104,1794,1522,1045,884,2469,1686,1313,1629,1814,1099,4194,5818,12596,3573,6168,3813,1794,14592,17070,21386,3826,31728,55741,16413,6499,28564,14515,11669,5520,20134,1906,14855,34960,34960,.,16060,26352,.,6083,13004,4353,4543,7450,7442,3497,5602,8671,17753,6143,7586,7984,2729,1024,1597,2565,1083,1537,2087,1240,2100,3829,2933,3831,2306,2923,1590,2088,1353,1665,189,1665,526,1240,882,1037,608,438,1488,1168,1384,1072,632,678,352,366,344,1447,1462,189,1462,480,531,806,916,479,501,1504,1392,1174,1061,690,236,292,189,189
ACSSF,2012m1,co,000,0103,0000029,1129,1969,2786,1220,832,1688,658,1416,2689,1070,1508,1705,1920,902,1399,5187,5705,4864,4454,4856,2023,13713,3604,8203,10905,13641,3035,4624,5949,11862,20785,3995,11049,8667,2219,,,,,,,,2091,2283,7717,3513,2597,5099,1375,2275,11613,11024,6887,5929,4741,5940,1204,3039,5003,2305,1757,1370,2335,1017,1613,1815,1985,1814,1964,1288,747,601,2261,189,2261,244,1744,1663,1628,1362,739,2369,1749,2144,1580,1463,1081,566,266,111,664,1745,189,1745,488,1240,1182,1251,809,676,1909,2129,1665,1450,1037,568,610,229,201
ACSSF,2012m1,co,000,0103,0000030,1059,3783,5316,1370,1669,3210,861,1187,3889,5669,1402,2154,2803,964,17824,3108,19421,17688,14027,7002,21816,,,,,,,,15368,20218,3839,16236,16203,47892,7275,50756,4502,4502,.,.,.,.,8023,12149,47314,9674,32078,15178,1980,6984,43705,69546,.,6771,19793,3150,1116,4208,3602,1409,2503,2387,1002,3884,14208,7860,2501,4830,21663,4405,1594,925,878,189,878,267,595,395,578,336,379,565,352,473,371,297,109,91,189,78,1002,369,189,369,43,278,193,217,141,72,989,762,761,566,388,151,127,272,189
ACSSF,2012m1,co,000,0103,0000031,1472,3113,6730,1886,2160,5279,1015,2632,5224,7568,2522,4292,4377,1090,,,,,,,,,,,,,,,6204,68343,4756,.,15070,4156,6006,.,.,.,.,.,.,.,3424,3975,9945,11579,6425,15990,2603,9417,30090,14578,1675,6433,9198,1274,2953,5208,4307,2818,4597,3133,1053,2810,3660,7664,2761,4924,11031,6627,2116,1331,1137,189,1137,207,445,604,763,425,257,978,637,749,560,395,303,273,189,189,1217,821,189,821,239,355,371,522,212,214,1015,838,806,524,579,200,157,189,189
ACSSF,2012m1,co,000,0103,0000032,4123,9415,7795,3348,4327,2160,4355,3085,10212,8110,3909,4764,2201,4054,,,,,,,,2006,.,.,.,.,.,.,26810,53566,40023,34513,11740,40371,25834,.,.,.,.,.,.,.,14026,19466,46456,10996,.,.,.,,,,,,,,2633,9827,6404,3956,5098,2130,4952,13751,15831,14562,67187,11721,26495,4044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0103,0000033,3435,3476,5481,1892,1623,2697,2095,3528,3944,5023,2036,1993,3736,2077,,,,,,,,,,,,,,,24686,43189,27639,118219,9443,20017,15156,.,.,.,.,.,.,.,,,,,,,,6872,12020,6685,1768,18116,31827,1636,2732,2253,1545,3805,3361,3563,2268,3562,5234,7756,5752,5383,5817,7433,2240,1427,1097,189,1097,296,397,754,685,463,506,1106,829,777,399,654,301,262,189,189,1542,946,189,946,65,427,371,572,638,144,1285,1076,867,520,371,488,311,189,164
ACSSF,2012m1,co,000,0103,0000034,3905,3680,5253,1411,4110,5397,1412,2044,4425,4891,1197,4358,6614,2041,27420,28266,45595,52262,972,.,459,3803,3803,.,7253,.,.,.,,,,,,,,.,.,.,.,.,.,.,4190,7970,12294,19240,2573,2300,19853,13092,.,.,.,.,.,.,3936,6906,13536,1338,6234,4216,2329,4013,4931,5369,6358,2903,8207,3806,1963,1232,933,189,933,189,248,839,675,480,578,1019,847,870,721,569,291,365,189,76,1125,734,189,734,402,472,381,188,388,189,977,1012,729,566,274,277,167,189,189
