ACSSF,2012e1,co,000,0012,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147848,123943,73536,50407,23905,1271,22634,147848,10661,215,301,410,1916,3983,17994,1193,6527,1093,30362,127,1144,17492,7897,929,3730,4357,100,311,5927,4199,258,66,3326,180,209,1903,554,42709,23905,147848,123943,73536,50407,23905
ACSSF,2012e1,co,000,0012,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160852,143013,96121,46892,17839,1513,16326,160852,7513,223,361,522,477,1743,12711,491,2956,322,27523,430,663,15632,11116,256,2067,2236,27,614,1480,2741,193,278,1728,153,84,908,0,84696,17839,160852,143013,96121,46892,17839
ACSSF,2012e1,co,000,0012,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263691,198824,134256,64568,64867,4564,60303,263691,13364,192,779,1374,1201,3262,22242,3403,5917,1284,57399,672,567,24883,7854,195,4902,3913,332,2450,1909,3664,232,1027,6615,521,211,1653,0,86485,64867,263691,198824,134256,64568,64867
ACSSF,2012e1,co,000,0012,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109315,94527,49926,44601,14788,1874,12914,109315,4466,260,410,1084,1377,2682,13789,1858,2860,965,28184,533,710,16198,8007,196,4089,4224,320,1469,1271,3843,0,41,4063,550,721,744,0,30510,14788,109315,94527,49926,44601,14788
ACSSF,2012e1,co,000,0012,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338835,306576,216295,90281,32259,2292,29967,338835,19206,2421,1323,1278,1624,3390,23336,3960,6688,1124,49834,836,449,30154,10245,598,5754,5331,580,4079,3106,4753,403,12761,5936,581,1271,1732,289,175901,32259,338835,306576,216295,90281,32259
ACSSF,2012e1,co,000,0012,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101812,94218,52431,41787,7594,951,6643,101812,8789,582,1684,954,1098,1858,12677,3498,3660,438,23513,660,583,12353,6174,245,2236,5072,448,2596,1348,2603,225,760,2755,846,311,1227,475,34255,7594,101812,94218,52431,41787,7594
ACSSF,2012e1,co,000,0012,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103735,93069,56125,36944,10666,1487,9179,103735,5631,576,1088,598,810,2759,12097,4873,2528,415,22795,1071,577,15727,7388,140,2977,3483,295,1603,1117,2858,245,401,2002,1236,392,952,78,30879,10666,103735,93069,56125,36944,10666
ACSSF,2012e1,co,000,0012,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431846,382194,221734,160460,49652,5048,44604,431846,22406,3055,1852,2177,3031,9192,44164,9502,13724,1357,97978,1220,2329,61183,26554,742,8743,10952,1620,4373,6204,13718,1166,1495,7297,1626,1289,3980,3016,160547,49652,431846,382194,221734,160460,49652
ACSSF,2012e1,co,000,0012,0000029,634265,0,0,0,21275,1705,227,35,60,422,76,0,450,199,354,193,0,574,1467,429,709,496,4193,197,432,2109,0,322,696,0,3833,607,3846,8921,2166,48244,0,12112,1340,16473,3498,95034,152,3042,0,1590,220,1515,62924,245,26188,396,1746,173,0,0,0,1202,11871,173,16459,936,448,8502,1702,5977,17439,513,531,1079,254,0,13749,0,3125,297,0,0,249,119,0,1207,190,115,0,0,8523,38,13281,3006,1477,2185,4007,1571,31,0,130,0,0,0,156,908,205,0,141,0,700,307766,54856,634265,579409,396239,183170,54856,6922,47934,634265,21275,1705,4193,3833,3846,8921,48244,12112,16473,3498,95034,3042,1590,62924,26188,1746,11871,16459,936,8502,5977,17439,1079,13749,13281,3006,2185,4007,1571,326522,54856,634265,579409,396239,183170,54856
ACSSF,2012e1,co,000,0012,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148634,131525,68065,63460,17109,1178,15931,148634,6770,843,1664,1666,1914,4185,16728,8854,4893,890,39853,652,531,23738,8135,359,5040,5516,401,1814,1610,4312,303,800,5445,471,325,1521,74,40974,17109,148634,131525,68065,63460,17109
