ACSSF,2012e1,co,000,0018,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,8582,5521,3061,383,636,576,274,310,157,43,682,101812,93230,8582,,,,14000,3335,1250,2085,10665,8801,1864,8582,5521,3061,383,1796,882
ACSSF,2012e1,co,000,0018,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,9044,4720,4324,605,1033,788,442,371,327,191,567,103735,94691,9044,,,,25247,3101,1844,1257,22146,18297,3849,9044,4720,4324,605,2634,1085
ACSSF,2012e1,co,000,0018,0000028,97861,19105,5094,1962,2582,550,14011,11561,2450,17581,9867,7508,1061,1298,7714,6877,837,61175,48632,40988,2427,5217,12543,11738,805,38803,21787,17016,1616,2543,2540,1814,1416,898,1536,4653,431846,393043,38803,,,,97861,36686,27908,8778,61175,52726,8449,38803,21787,17016,1616,8313,7087
ACSSF,2012e1,co,000,0018,0000029,132332,37498,14426,2913,9756,1757,23072,17251,5821,32785,16632,4083,8484,4065,16153,12672,3481,62049,47741,34882,6654,6205,14308,11956,2352,97763,65250,32513,4551,5960,6309,4672,2597,2170,2733,3521,634265,536502,97763,,,,132332,70283,36919,33364,62049,46838,15211,97763,65250,32513,4551,19538,8424
ACSSF,2012e1,co,000,0018,0000030,27515,3502,1354,942,118,294,2148,2072,76,5357,3727,2924,363,440,1630,1467,163,18656,16235,14579,752,904,2421,2279,142,8493,5171,3322,665,643,351,203,131,281,197,851,148634,140141,8493,,,,27515,8859,7405,1454,18656,16858,1798,8493,5171,3322,665,1328,1329
ACSSF,2012e1,co,000,0018,0000031,21604,6395,2124,1091,397,636,4271,3491,780,6769,4772,2324,1540,908,1997,1871,126,8440,7354,4902,634,1818,1086,1086,0,10692,7146,3546,314,1142,861,351,199,162,262,255,95365,84673,10692,,,,21604,13164,8777,4387,8440,5988,2452,10692,7146,3546,314,2553,679
ACSSF,2012e1,co,000,0018,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,10124,4315,5809,1109,610,905,983,639,591,225,747,101898,91774,10124,,,,28030,2899,1840,1059,25131,22000,3131,10124,4315,5809,1109,3137,1563
ACSSF,2012e1,co,000,0018,0000033,26301,6306,2094,1295,342,457,4212,3804,408,4727,1942,672,1216,54,2785,2521,264,15268,12311,9115,740,2456,2957,2596,361,13341,8216,5125,416,1720,432,534,289,278,324,1132,145522,132181,13341,,,,26301,11033,8292,2741,15268,11711,3557,13341,8216,5125,416,2975,1734
ACSSF,2012e1,co,000,0018,0000034,21645,5832,2598,1028,1570,0,3234,2335,899,3862,2718,894,1124,700,1144,859,285,11951,7543,5735,1260,548,4408,3964,444,13525,9519,4006,143,1726,725,548,350,179,40,295,88636,75111,13525,,,,21645,9694,5116,4578,11951,9699,2252,13525,9519,4006,143,3349,514
ACSSF,2012e1,co,000,0018,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70214,67507,2707,,,,16574,5909,5162,747,10665,9850,815,2707,1465,1242,57,475,710
