ACSSF,2012m1,co,000,0055,0000055,2193,1975,1832,1467,1251,802,342,262,2058,1827,778,456,189,189,189,189,,,,2193,1975,1832,1467,1251,850,2058,1827,778,456,189,189
ACSSF,2012m1,co,000,0055,0000056,2531,2246,1682,1271,1042,1137,385,396,2234,2017,1311,763,649,189,189,189,,,,2531,2246,1682,1271,1042,1253,2234,2017,1311,763,649,189
ACSSF,2012m1,co,000,0055,0000057,1716,1548,1204,1002,1029,866,316,303,1676,1500,605,230,228,189,189,189,,,,1716,1548,1204,1002,1029,858,1676,1500,605,230,228,189
ACSSF,2012m1,co,000,0055,0000058,1802,2079,1578,1251,1622,932,858,597,1733,1536,780,377,258,137,189,189,,,,1802,2079,1578,1251,1622,1376,1733,1536,780,377,258,137
ACSSF,2012m1,co,000,0055,0000059,2722,2635,1637,1394,1348,705,293,14,2228,2064,1316,544,142,189,115,189,,,,2722,2635,1637,1394,1348,715,2228,2064,1316,544,142,115
ACSSF,2012m1,co,000,0055,0000060,2109,1698,1563,884,796,547,628,281,1517,1565,627,15,488,189,189,189,,,,2109,1698,1563,884,796,867,1517,1565,627,15,488,189
ACSSF,2012m1,co,000,0055,0000061,1399,1751,1390,1395,1027,685,631,321,1762,1505,747,303,189,174,189,189,,,,1399,1751,1390,1395,1027,948,1762,1505,747,303,189,174
ACSSF,2012m1,co,000,0055,0000062,1838,1762,1165,952,780,525,422,283,1649,1478,684,85,189,90,189,189,,,,1838,1762,1165,952,780,676,1649,1478,684,85,189,90
ACSSF,2012m1,co,000,0055,0000063,1998,1617,1537,1042,1203,545,377,134,1691,1689,558,243,92,189,189,189,,,,1998,1617,1537,1042,1203,616,1691,1689,558,243,92,189
ACSSF,2012m1,co,000,0055,0000064,2310,2011,1731,1237,1489,1062,547,631,1813,1574,1073,217,189,189,189,189,,,,2310,2011,1731,1237,1489,1169,1813,1574,1073,217,189,189
ACSSF,2012m1,co,000,0055,0000065,1735,1570,1329,1067,818,547,412,189,1767,1835,1223,842,558,326,189,55,,,,1735,1570,1329,1067,818,689,1767,1835,1223,842,558,319
ACSSF,2012m1,co,000,0055,0000066,1887,1865,1442,1107,1434,865,386,323,1608,1393,852,296,189,189,189,189,,,,1887,1865,1442,1107,1434,974,1608,1393,852,296,189,189
ACSSF,2012m1,co,000,0055,0000067,1751,1628,1450,1133,1380,614,588,338,1589,1500,825,172,138,129,189,189,,,,1751,1628,1450,1133,1380,829,1589,1500,825,172,138,129
ACSSF,2012m1,co,000,0055,0000068,2222,1823,1650,1161,1621,1042,584,426,1708,1387,915,187,240,189,189,189,,,,2222,1823,1650,1161,1621,1222,1708,1387,915,187,240,189
ACSSF,2012m1,co,000,0055,0000069,2201,2053,1506,1321,1171,995,625,789,1952,1416,947,409,288,189,189,189,,,,2201,2053,1506,1321,1171,1246,1952,1416,947,409,288,189
ACSSF,2012m1,co,000,0055,0000070,1468,1558,1146,1209,924,652,469,382,1235,1186,450,203,189,189,189,189,,,,1468,1558,1146,1209,924,868,1235,1186,450,203,189,189
ACSSF,2012m1,co,000,0055,0000071,1757,1933,1494,1323,1003,786,486,452,1702,1610,563,313,151,189,189,189,,,,1757,1933,1494,1323,1003,959,1702,1610,563,313,151,189
ACSSF,2012m1,co,000,0055,0000072,1857,1525,1196,1216,930,762,590,603,1593,1383,729,291,96,189,189,189,,,,1857,1525,1196,1216,930,932,1593,1383,729,291,96,189
ACSSF,2012m1,co,000,0055,0000073,1746,1702,1339,1092,1097,594,330,230,1736,1604,541,190,189,189,189,189,,,,1746,1702,1339,1092,1097,680,1736,1604,541,190,189,189
ACSSF,2012m1,co,000,0055,0000074,2807,2261,1338,1385,1662,939,458,632,1954,1706,1077,722,238,189,189,189,,,,2807,2261,1338,1385,1662,1177,1954,1706,1077,722,238,189
ACSSF,2012m1,co,000,0055,0000075,2646,1906,1244,875,744,410,324,536,2260,2237,1185,550,162,189,189,189,,,,2646,1906,1244,875,744,731,2260,2237,1185,550,162,189
ACSSF,2012m1,co,000,0055,0000076,2436,1873,1592,1031,709,410,168,189,2443,2362,1241,763,435,189,189,189,,,,2436,1873,1592,1031,709,451,2443,2362,1241,763,435,189
ACSSF,2012m1,co,000,0055,0000077,2791,2263,1601,1508,1274,969,203,533,2591,2615,1363,554,390,189,189,189,,,,2791,2263,1601,1508,1274,1167,2591,2615,1363,554,390,189
ACSSF,2012m1,co,000,0055,0000078,2454,2166,1375,1388,946,1003,782,590,1755,1569,786,127,41,189,81,189,,,,2454,2166,1375,1388,946,1388,1755,1569,786,127,41,81
ACSSF,2012m1,co,000,0055,0000079,1850,1597,1427,1075,879,696,343,244,1874,1805,821,361,40,370,189,189,,,,1850,1597,1427,1075,879,756,1874,1805,821,361,40,370
ACSSF,2012m1,co,000,0055,0000080,1898,1629,1562,1115,858,965,409,385,1784,1642,914,443,135,301,189,189,,,,1898,1629,1562,1115,858,1096,1784,1642,914,443,135,301
ACSSF,2012m1,co,000,0055,0000081,1971,1453,1605,1229,1029,577,690,187,1573,1494,920,97,317,189,189,189,,,,1971,1453,1605,1229,1029,844,1573,1494,920,97,317,189
ACSSF,2012m1,co,000,0055,0000082,1736,1301,1367,978,823,568,442,443,1692,1686,608,358,231,189,189,189,,,,1736,1301,1367,978,823,780,1692,1686,608,358,231,189
