ACSSF,2012e1,co,000,0079,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39989,4916,1669,975,537,39,118,3247,704,307,397,0,0,2543,278,1817,410,38,35073,28146,18878,7594,1674,0,6927,2806,1159,1647,0,0,4121,2094,1636,185,206,144569,23285,17031,5371,11660,3864,7796,6254,121284,103981,83481,20500,6905,13595,17303,39989,6467,2053,4414,1125,3289,1935,1334,601,0,601,2810,1863,947,184,763,28777,24565,4212,2201,2011,39989,4916,1669,975,694,3247,704,307,397,2543,278,2265,35073,28146,18878,9268,6927,2806,1159,1647,4121,2094,2027
ACSSF,2012e1,co,000,0079,0000022,39720,8153,3940,2766,337,1095,1334,1174,4213,764,572,72,82,418,192,3449,2956,770,869,1317,493,1433,565,235,38,27,170,330,868,228,172,137,0,35,56,640,410,0,178,232,230,3069,1760,940,281,303,356,820,1309,694,183,160,0,23,511,615,243,40,0,203,372,27065,21854,7351,1145,931,5275,14503,5211,2001,1151,281,0,870,850,3210,1628,345,98,1185,1582,39720,5661,1939,578,527,490,344,3722,604,139,357,108,0,3118,518,1626,831,143,34059,26180,17095,6965,1936,184,7879,3083,1568,1480,35,0,4796,2827,1925,44,0,156967,31445,23538,8906,14632,2177,12455,7907,125522,106264,82695,23569,8740,14829,19258,39720,8153,3940,4213,764,3449,1433,565,868,228,640,3069,1760,1309,694,615,27065,21854,5211,2001,3210,39720,5661,1939,578,1361,3722,604,139,465,3118,518,2600,34059,26180,17095,9085,7879,3083,1568,1515,4796,2827,1969
ACSSF,2012e1,co,000,0079,0000023,68084,10530,4369,3442,342,1799,1301,927,6161,1304,893,35,326,532,411,4857,4179,1190,1233,1756,678,2573,1729,1585,251,243,1091,144,844,66,66,0,0,66,0,778,488,37,266,185,290,3862,3386,2598,933,768,897,788,476,211,106,0,0,106,105,265,265,39,97,129,0,51119,44138,19546,4110,3260,12176,24592,6981,3484,1855,325,464,1066,1629,3497,1444,110,16,1318,2053,68084,7185,2317,603,925,573,216,4868,818,186,381,207,44,4050,1067,2077,835,71,60899,51305,27432,18121,5429,323,9594,4247,2072,2124,51,0,5347,2736,2045,566,0,255850,37734,28228,10701,17527,3617,13910,9506,218116,194842,164919,29923,12134,17789,23274,68084,10530,4369,6161,1304,4857,2573,1729,844,66,778,3862,3386,476,211,265,51119,44138,6981,3484,3497,68084,7185,2317,603,1714,4868,818,186,632,4050,1067,2983,60899,51305,27432,23873,9594,4247,2072,2175,5347,2736,2611
ACSSF,2012e1,co,000,0079,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107937,8633,4958,2314,2644,484,2160,3675,99304,82780,65260,17520,5466,12054,16524,29308,1932,1107,825,39,786,192,154,38,38,0,1905,809,1096,479,617,25279,20543,4736,1210,3526,29308,1462,808,432,376,654,39,0,39,615,115,500,27846,21805,13883,7922,6041,1727,972,755,4314,1867,2447
ACSSF,2012e1,co,000,0079,0000025,81005,14070,6248,5373,511,2608,2254,875,7822,1560,1475,376,169,930,85,6262,5331,1295,1315,2721,931,3322,1364,868,292,243,333,496,1958,580,460,94,0,366,120,1378,1300,0,340,960,78,5742,3059,1895,251,512,1132,1164,2683,625,477,117,74,286,148,2058,1839,331,432,1076,219,57871,41654,18364,3718,3655,10991,23290,16217,5408,2396,640,135,1621,3012,10809,6634,815,330,5489,4175,81005,9482,3816,414,1853,1277,272,5666,1015,209,701,105,0,4651,899,2531,954,267,71523,48509,26972,17582,3627,328,23014,7158,4232,2615,311,0,15856,5666,8588,1427,175,335213,53999,43337,20474,22863,4818,18045,10662,281214,240399,163686,76713,23383,53330,40815,81005,14070,6248,7822,1560,6262,3322,1364,1958,580,1378,5742,3059,2683,625,2058,57871,41654,16217,5408,10809,81005,9482,3816,414,3402,5666,1015,209,806,4651,899,3752,71523,48509,26972,21537,23014,7158,4232,2926,15856,5666,10190
ACSSF,2012e1,co,000,0079,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93703,22617,2688,1609,1079,451,628,19929,71086,49178,40722,8456,1995,6461,21908,17993,1278,635,643,130,513,269,140,129,96,33,601,290,311,84,227,15845,13571,2274,711,1563,17993,821,389,237,152,432,130,103,27,302,0,302,17172,14247,7891,6356,2925,891,490,401,2034,784,1250
ACSSF,2012e1,co,000,0079,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102778,3742,2397,751,1646,42,1604,1345,99036,89086,75400,13686,3262,10424,9950,28879,1222,530,692,46,646,296,230,66,0,66,298,221,77,0,77,27063,23285,3778,912,2866,28879,694,232,135,97,462,0,0,0,462,121,341,28185,24034,13987,10047,4151,958,472,486,3193,1559,1634
ACSSF,2012e1,co,000,0079,0000028,107563,14753,5746,3754,828,1275,1651,1992,9007,1204,1067,298,167,602,137,7803,6734,960,1846,3928,1069,2427,1288,779,171,306,302,509,1139,220,191,73,36,82,29,919,555,181,72,302,364,6382,4381,2558,980,531,1047,1823,2001,430,365,23,214,128,65,1571,852,162,122,568,719,84001,68533,29681,6139,4796,18746,38852,15468,5414,3365,1199,262,1904,2049,10054,5998,918,765,4315,4056,107563,10733,4038,1589,1406,978,65,6695,935,344,463,0,128,5760,785,3362,1154,459,96830,75910,43185,27776,4744,205,20920,6333,2962,3188,183,0,14587,6911,6955,612,109,425162,61390,43867,16890,26977,4454,22523,17523,363772,303479,238912,64567,18855,45712,60293,107563,14753,5746,9007,1204,7803,2427,1288,1139,220,919,6382,4381,2001,430,1571,84001,68533,15468,5414,10054,107563,10733,4038,1589,2449,6695,935,344,591,5760,785,4975,96830,75910,43185,32725,20920,6333,2962,3371,14587,6911,7676
ACSSF,2012e1,co,000,0079,0000029,129337,26174,9867,7080,976,3439,2665,2787,16307,3555,3005,944,490,1571,550,12752,10795,1784,3300,5711,1957,4971,2621,1959,457,654,848,662,2350,364,158,0,113,45,206,1986,1546,244,538,764,440,7061,3811,2560,1130,811,619,1251,3250,630,291,248,0,43,339,2620,1825,335,408,1082,795,91131,70496,28562,9185,4921,14456,41934,20635,7355,3344,789,128,2427,4011,13280,7118,1432,676,5010,6162,129337,18826,6305,1222,2651,1800,632,12521,2680,735,1526,419,0,9841,2262,5061,2298,220,110511,80490,46962,28036,5319,173,30021,9224,5162,3883,179,0,20797,10059,9114,1586,38,622622,119662,79544,31623,47921,11111,36810,40118,502960,350677,249134,101543,28976,72567,152283,129337,26174,9867,16307,3555,12752,4971,2621,2350,364,1986,7061,3811,3250,630,2620,91131,70496,20635,7355,13280,129337,18826,6305,1222,5083,12521,2680,735,1945,9841,2262,7579,110511,80490,46962,33528,30021,9224,5162,4062,20797,10059,10738
ACSSF,2012e1,co,000,0079,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32542,2898,1316,438,839,39,0,1582,281,0,281,0,0,1301,227,904,170,0,29644,25109,14661,7843,2543,62,4535,1241,549,633,59,0,3294,1488,1759,47,0,141227,27225,10533,5199,5334,1107,4227,16692,114002,88777,75792,12985,3143,9842,25225,32542,3800,1650,2150,386,1764,898,724,174,174,0,1261,831,430,0,430,26583,23220,3363,962,2401,32542,2898,1316,438,878,1582,281,0,281,1301,227,1074,29644,25109,14661,10448,4535,1241,549,692,3294,1488,1806
