ACSSF,2012m1,co,000,0006,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,1832,1789,1027,777,846,177,207,1011,109,996,1504,3550,1083,850,189,189,3193,785,625,542,1672,1832,1504,1672,1832,1504,3316,292,330,58,917,659,2779,1672,1832,1789,1027,777,846,177,207,1011,109,996,1504
ACSSF,2012m1,co,000,0006,0000012,0,0,0,4682,1457,330,163,1767,77,954,260,612,213,1084,40,1065,207,189,189,769,189,189,799,189,189,189,3958,1623,2892,696,2424,0,0,1544,1786,1174,989,728,565,1576,114,1563,0,4023,1089,1083,189,189,3769,1476,1269,808,0,0,0,0,0,0,4682,1457,330,163,1767,1065,3958,0,0,1544,1786,1174,989,728,565,1576,114,1563,0
ACSSF,2012m1,co,000,0006,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,457,957,1247,1097,243,426,2027,100,2056,0,6166,1213,716,82,196,5647,2478,1168,2202,0,0,0,0,0,0,4671,1930,561,458,1446,711,4177,0,0,457,957,1247,1097,243,426,2027,100,2056,0
ACSSF,2012m1,co,000,0006,0000014,0,0,0,3832,1758,858,412,2075,189,807,465,143,239,1823,189,1654,387,139,318,402,63,189,775,189,1416,189,2812,1622,1394,209,1603,0,0,798,1931,689,1170,258,915,2411,684,2337,0,5534,1214,1534,401,189,4551,3573,3233,1053,0,0,0,0,0,0,3832,1758,858,412,2075,1654,2812,0,0,798,1931,689,1170,258,915,2411,684,2337,0
ACSSF,2012m1,co,000,0006,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,230,694,298,989,34,230,1185,69,1192,0,3053,465,532,189,189,3010,748,394,663,0,0,0,0,0,0,2399,796,698,263,651,601,1673,0,0,230,694,298,989,34,230,1185,69,1192,0
ACSSF,2012m1,co,000,0006,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,844,1462,754,1779,422,672,2342,549,2403,0,6581,1133,1315,1037,189,6267,2292,2196,979,0,0,0,0,0,0,4726,2973,696,189,1015,1077,3221,0,0,844,1462,754,1779,422,672,2342,549,2403,0
ACSSF,2012m1,co,000,0006,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,190,559,434,993,184,190,1221,606,1264,0,1562,173,84,189,189,1386,839,684,596,0,0,0,0,0,0,1767,1017,679,292,1263,1113,1548,0,0,190,559,434,993,184,190,1221,606,1264,0
ACSSF,2012m1,co,000,0006,0000018,0,0,0,4128,2548,2093,547,1251,395,419,473,468,601,657,189,936,123,189,185,391,436,189,322,15,574,189,3359,1780,2003,407,2577,0,0,847,3263,951,1268,474,939,3997,229,4036,0,4492,1530,800,169,443,4010,1935,1324,1238,0,0,0,0,0,0,4128,2548,2093,547,1251,936,3359,0,0,847,3263,951,1268,474,939,3997,229,4036,0
ACSSF,2012m1,co,000,0006,0000019,0,0,0,3372,999,268,733,1964,40,2012,65,138,122,784,52,677,81,69,189,407,294,189,403,180,198,189,2444,1820,2186,344,1194,0,0,319,768,496,1318,94,277,1590,195,1588,0,3321,361,973,419,189,2710,1451,1005,1028,0,0,0,0,0,0,3372,999,268,733,1964,677,2444,0,0,319,768,496,1318,94,277,1590,195,1588,0
ACSSF,2012m1,co,000,0006,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1348,642,371,733,489,1364,1045,46,1047,0,2585,405,399,189,189,2311,1582,813,1214,0,0,0,0,0,0,2335,1703,423,204,901,637,1296,0,0,1348,642,371,733,489,1364,1045,46,1047,0
ACSSF,2012m1,co,000,0006,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,108,280,366,290,186,62,565,90,560,0,1931,111,747,181,151,1704,947,896,272,0,0,0,0,0,0,1947,301,309,189,564,712,1726,0,0,108,280,366,290,186,62,565,90,560,0
ACSSF,2012m1,co,000,0006,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,189,346,279,419,189,189,617,133,621,0,4049,223,662,165,144,3510,1797,1627,706,0,0,0,0,0,0,3319,878,298,189,151,84,3067,0,0,189,346,279,419,189,189,617,133,621,0
ACSSF,2012m1,co,000,0006,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,481,454,468,585,69,475,883,67,881,0,4230,371,506,98,189,4198,1111,732,811,0,0,0,0,0,0,2748,741,546,189,1051,145,2754,0,0,481,454,468,585,69,475,883,67,881,0
ACSSF,2012m1,co,000,0006,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194,2789,3277,614,771,956,48,205,662,189,662,2926,2086,161,357,189,189,2207,708,496,469,1194,2789,2926,1194,2789,2926,2449,143,160,189,207,188,1820,1194,2789,3277,614,771,956,48,205,662,189,662,2926
ACSSF,2012m1,co,000,0006,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,4607,5352,3592,572,2541,491,292,2117,195,2095,4605,6036,1578,1351,188,189,4324,3071,2857,904,95,4607,4605,95,4607,4605,5820,1461,471,548,2104,889,2984,95,4607,5352,3592,572,2541,491,292,2117,195,2095,4605
ACSSF,2012m1,co,000,0006,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2445,2436,31,2445,2436,2263,545,480,246,165,450,593,31,2445,2686,625,189,1186,34,200,711,69,717,2436
