ACSSF,2012m1,co,000,0107,0000021,1370,1388,498,1281,1493,1081,1770,1370,1388,971,578,753,640,549,189,1002,425,248,122,224,910,1493,1590,1407,1288,694,1175,86,1852,1588,750,538,602,1972,1370,1388,975,1040,1493,1447,1751,1484,1324,1561,,,,,,,,,,,,,609,232,573,484,162,479,1398,1222,1543,656,722,840,2138,1037,697,225,321,511,509,106,235,114,203,766,642,105,573,189,307,590,370,414,62,189,1959,2035,795,1266,2001,1997,552,789,738,293,1467,844,358,728,230,61,1290,263,1100,502,181,3526,3237,3902,1370,1388,813,1154,1493,1471,1782,1370,1388,1493,1370,1388,971,1002,1493,1590,1852,2138,1037,697,225,321,580,766,642,105,573,307,590,370,414,62,1959,2035,795,1266,2021,1467,844,358,728,239,1290,263,1100,537
ACSSF,2012m1,co,000,0107,0000022,1454,1599,723,1461,1753,1076,1626,1454,1599,1068,689,792,290,805,174,1091,338,634,377,605,758,1753,1483,1263,921,625,649,63,1891,1313,632,350,499,1615,1454,1599,1249,1014,1753,996,1948,1735,1101,1860,343,158,283,405,301,264,,,,,,,1268,954,922,580,258,534,1337,797,1476,1161,1281,1439,1752,1406,750,361,438,524,486,205,228,248,68,1145,458,141,349,298,189,1077,419,851,227,235,1709,1575,850,1020,1269,1265,312,658,621,176,1083,731,244,633,301,225,815,254,613,473,318,1944,1919,2138,1454,1599,1091,1129,1753,1333,1761,1454,1599,1753,1454,1599,1068,1091,1753,1483,1891,1752,1406,750,361,438,546,1145,458,141,349,298,1077,419,851,322,1709,1575,850,1020,1363,1083,731,244,633,365,815,254,613,562
ACSSF,2012m1,co,000,0107,0000023,1409,1535,745,1317,1813,1146,1873,1409,1535,1173,826,1018,282,970,228,953,179,331,152,309,801,1813,1980,2116,1166,763,990,103,2169,1544,984,561,847,2118,1409,1535,1045,930,1813,1233,2058,1738,1411,1870,304,233,262,304,171,251,,,,,,,1273,635,1220,502,106,479,1398,931,1383,1217,1017,1495,2129,1155,825,208,525,540,280,456,374,373,37,1069,315,161,273,189,189,1026,417,796,217,189,2355,2473,774,1556,1908,1858,458,1111,1095,186,1649,887,121,613,677,416,1380,229,1008,962,188,2828,7139,2762,1409,1535,570,1522,1813,1523,2213,1409,1535,1813,1409,1535,1173,953,1813,1980,2169,2129,1155,825,208,525,652,1069,315,161,273,189,1026,417,796,217,2355,2473,774,1556,2252,1649,887,121,613,767,1380,229,1008,932
ACSSF,2012m1,co,000,0107,0000024,1781,762,405,656,2003,1689,1523,1781,762,497,284,332,151,305,315,621,138,279,189,279,579,2003,1122,1000,1015,404,928,215,2254,1427,711,556,460,1841,1781,762,465,622,2003,760,1887,1951,682,2069,,,,,,,,,,,,,,,,,,,2157,684,2235,1078,147,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5468,11189,5409,1781,762,577,587,2003,1186,2073,1781,762,2003,1781,762,497,621,2003,1122,2254,1282,510,313,164,180,189,446,151,189,151,189,417,271,92,290,1319,1610,736,928,1292,1296,662,112,427,541,1085,116,826,574
ACSSF,2012m1,co,000,0107,0000025,2518,1826,736,1806,2918,1872,2528,2518,1826,1470,962,1229,577,1165,281,1012,350,527,255,506,866,2918,2449,1981,1737,911,1453,294,3747,1957,1191,860,854,2777,2518,1826,1312,1389,2918,1434,2996,2730,1364,2631,1540,1113,1494,463,125,438,859,246,890,,,,1174,468,1131,966,436,870,2706,1097,2672,1613,1142,1570,2634,1511,1041,277,731,535,439,392,223,205,94,1311,637,102,629,294,144,1239,531,1097,667,193,2599,2346,708,1334,1920,1878,662,1236,1252,291,2009,1205,286,776,890,367,1655,463,1289,897,338,1665,3125,2536,2518,1826,1177,1447,2918,1854,3241,2518,1826,2918,2518,1826,1470,1012,2918,2449,3747,2634,1511,1041,277,731,595,1311,637,102,629,325,1239,531,1097,731,2599,2346,708,1334,1954,2009,1205,286,776,895,1655,463,1289,951
ACSSF,2012m1,co,000,0107,0000026,1535,694,243,660,1712,857,1663,1535,694,435,110,428,189,428,189,596,170,258,189,258,508,1712,1154,1016,634,345,525,409,2036,1148,441,351,232,1852,1535,694,548,486,1712,1234,1658,1773,647,1858,,,,,,,,,,,,,,,,,,,1847,446,1857,959,579,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6829,20166,6413,1535,694,369,601,1712,675,1790,1535,694,1712,1535,694,435,596,1712,1154,2036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0107,0000027,1437,315,182,248,1401,1308,1258,1437,315,238,154,163,94,133,189,219,131,45,189,45,169,1401,998,955,790,442,669,189,1862,1317,589,144,566,1280,1437,315,175,247,1401,430,1393,1496,281,1510,,,,,,,500,189,500,,,,,,,371,122,334,1476,281,1514,600,70,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6002,11187,6273,1437,315,226,225,1401,1067,1420,1437,315,1401,1437,315,238,219,1401,998,1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0107,0000028,2869,1902,769,1642,3500,2227,3372,2869,1902,1457,793,1332,411,1226,217,1206,504,670,220,624,974,3500,2375,2111,1566,1051,1537,430,4005,2732,1171,639,996,3177,2869,1902,1461,1434,3500,1866,3566,2983,1537,3107,1405,850,1326,439,188,343,726,463,681,,,,1354,678,1274,985,452,847,2740,1293,2858,1750,1086,1791,2858,1500,886,312,512,511,460,258,663,585,288,1407,442,219,257,287,189,1377,900,809,663,189,3045,3210,1417,1972,2334,2255,638,1238,1203,175,1845,1273,76,1013,668,458,1706,492,1474,888,194,1695,3313,2877,2869,1902,1572,1371,3500,2491,3710,2869,1902,3500,2869,1902,1457,1206,3500,2375,4005,2858,1500,886,312,512,791,1407,442,219,257,287,1377,900,809,663,3045,3210,1417,1972,2658,1845,1273,76,1013,829,1706,492,1474,924
ACSSF,2012m1,co,000,0107,0000029,2772,2516,1180,2355,3651,2111,3914,2772,2516,2255,1229,1939,744,1803,71,2001,444,586,180,584,1816,3651,3062,2506,1972,1184,1747,214,4076,2851,1964,1229,1282,3949,2772,2516,2148,1679,3651,2760,3591,3395,1880,3479,1624,1407,1602,545,390,486,1119,579,1168,,,,1673,1149,1462,1239,411,1164,2918,1485,3087,2421,1863,2591,4205,2175,1303,452,989,704,725,229,497,467,257,1978,774,400,566,276,185,1841,659,1427,593,555,4093,3608,1033,2209,2931,2768,901,1251,1130,484,2781,1648,231,1198,1000,497,2128,616,1614,1164,772,1534,2367,1917,2772,2516,1335,2352,3651,2544,3604,2772,2516,3651,2772,2516,2255,2001,3651,3062,4076,4205,2175,1303,452,989,829,1978,774,400,566,290,1841,659,1427,793,4093,3608,1033,2209,2934,2781,1648,231,1198,1110,2128,616,1614,1494
ACSSF,2012m1,co,000,0107,0000030,2239,1103,375,971,2279,1405,1997,2239,1103,846,590,594,309,504,189,755,356,189,189,189,632,2279,1152,1190,688,350,590,273,2586,1494,774,275,687,1904,2239,1103,736,831,2279,1356,2426,2140,1059,2232,375,267,308,,,,381,136,347,,,,501,169,460,462,170,466,2252,983,2278,1175,536,987,1574,912,663,70,458,435,425,114,287,242,111,594,309,189,309,189,189,504,372,256,191,189,1656,1727,558,1284,1507,1483,320,723,729,99,984,472,189,327,295,101,848,280,639,567,306,2934,3542,3112,2239,1103,538,978,2279,1214,2323,2239,1103,2279,2239,1103,846,755,2279,1152,2586,1574,912,663,70,458,503,594,309,189,309,189,504,372,256,191,1656,1727,558,1284,1727,984,472,189,327,311,848,280,639,650
