ACSSF,2012e1,co,000,0170,0000021,113019,44333,26941,25940,2459,23481,1001,892,109,17392,17202,893,16309,190,148,42,34554,15967,14268,1839,12429,1699,1699,0,18587,16691,3541,13150,1896,1896,0,34132,13702,6368,2679,3689,7334,7042,292,20430,10182,3199,6983,10248,9921,327,143864,24540,20397,9451,15201,4143,41973,32464,22158,17368,9509,27274,22710,18360,8122,4564,20056,19243,16802,4747,813,30021,28635,27406,3380,1386,113019,44333,43142,3352,39790,1191,1040,151,34554,30959,5380,25579,3595,3595,0,34132,16550,5878,10672,17582,16963,619
ACSSF,2012e1,co,000,0170,0000022,119645,45257,26440,25685,2955,22730,755,621,134,18817,18372,1866,16506,445,306,139,27032,11594,10309,2570,7739,1285,1218,67,15438,13810,4585,9225,1628,1628,0,47356,19630,10899,5613,5286,8731,8645,86,27726,15795,7812,7983,11931,11717,214,156662,36520,29971,8692,26866,6549,47128,38806,25136,21620,8322,30327,27952,23657,9185,2375,20418,18273,14928,5871,2145,22269,21002,19343,4129,1267,119645,45257,44057,4821,39236,1200,927,273,27032,24119,7155,16964,2913,2846,67,47356,26694,13425,13269,20662,20362,300
ACSSF,2012e1,co,000,0170,0000023,188449,85408,51164,49632,2767,46865,1532,1154,378,34244,33757,1828,31929,487,366,121,53928,24581,22275,3272,19003,2306,2283,23,29347,27670,2643,25027,1677,1548,129,49113,16743,8032,2482,5550,8711,8663,48,32370,19947,3991,15956,12423,12279,144,256231,38350,28325,12770,19458,10025,65399,47888,34213,21748,17511,50425,42483,37420,9848,7942,43156,37957,35512,5981,5199,58901,53640,51285,5831,5261,188449,85408,83389,4595,78794,2019,1520,499,53928,49945,5915,44030,3983,3831,152,49113,27979,6473,21506,21134,20942,192
ACSSF,2012e1,co,000,0170,0000024,84816,40121,22912,21836,636,21200,1076,707,369,17209,16289,440,15849,920,761,159,20283,7967,7146,363,6783,821,778,43,12316,11156,765,10391,1160,1160,0,24412,10162,4331,1504,2827,5831,5715,116,14250,6962,1596,5366,7288,7079,209,108677,12569,10017,5304,6748,2552,21359,17465,13482,7480,3894,18666,17026,14919,5346,1640,19154,17339,15953,2800,1815,36929,35078,33562,3715,1851,84816,40121,38125,1076,37049,1996,1468,528,20283,18302,1128,17174,1981,1938,43,24412,11293,3100,8193,13119,12794,325
ACSSF,2012e1,co,000,0170,0000025,245564,115913,65493,63385,4739,58646,2108,1299,809,50420,48678,2688,45990,1742,1207,535,64118,31219,29158,4152,25006,2061,1720,341,32899,31001,3987,27014,1898,1811,87,65533,24247,14328,4865,9463,9919,9736,183,41286,26685,9885,16800,14601,14261,340,335489,52874,36285,11889,28057,16589,92615,64249,34666,35985,28366,70630,55038,46787,14718,15592,44948,39750,35889,8302,5198,74422,67968,61684,11667,6454,245564,115913,112063,7427,104636,3850,2506,1344,64118,60159,8139,52020,3959,3531,428,65533,41013,14750,26263,24520,23997,523
ACSSF,2012e1,co,000,0170,0000026,85928,29552,17369,16669,300,16369,700,540,160,12183,11714,188,11526,469,422,47,38501,18276,17591,344,17247,685,685,0,20225,19640,558,19082,585,585,0,17875,7156,4540,579,3961,2616,2526,90,10719,6794,961,5833,3925,3831,94,93575,21397,19705,18370,2845,1692,15196,13015,9083,5294,2181,14608,12972,12712,1725,1636,8041,7713,7218,1341,328,34333,33756,32552,2975,577,85928,29552,28383,488,27895,1169,962,207,38501,37231,902,36329,1270,1270,0,17875,11334,1540,9794,6541,6357,184
ACSSF,2012e1,co,000,0170,0000027,76828,37270,20546,18955,296,18659,1591,1413,178,16724,16115,326,15789,609,444,165,20026,8664,7359,373,6986,1305,1280,25,11362,9916,311,9605,1446,1446,0,19532,7862,4353,1198,3155,3509,3472,37,11670,6080,694,5386,5590,5466,124,102828,4099,2951,2225,1801,1148,11743,8866,7002,4088,2877,20143,18170,15636,5577,1973,15721,14463,13278,2831,1258,51122,49350,46840,6099,1772,76828,37270,35070,622,34448,2200,1857,343,20026,17275,684,16591,2751,2726,25,19532,10433,1892,8541,9099,8938,161
ACSSF,2012e1,co,000,0170,0000028,316212,135701,75680,72979,4925,68054,2701,2352,349,60021,58541,2838,55703,1480,792,688,87830,39779,36229,5749,30480,3550,3501,49,48051,44216,7562,36654,3835,3613,222,92681,36241,21371,8392,12979,14870,14785,85,56440,34093,9946,24147,22347,22021,326,416244,75518,56183,26334,40010,19335,82845,65218,45474,30293,17627,84469,72651,63740,18435,11818,65929,60915,55026,12676,5014,107483,101226,97213,14930,6257,316212,135701,131520,7763,123757,4181,3144,1037,87830,80445,13311,67134,7385,7114,271,92681,55464,18338,37126,37217,36806,411
ACSSF,2012e1,co,000,0170,0000029,489820,236156,132040,127630,6178,121452,4410,3402,1008,104116,101980,5378,96602,2136,1384,752,129453,62471,58996,8366,50630,3475,3364,111,66982,61728,11199,50529,5254,4952,302,124211,49284,29773,15598,14175,19511,19125,386,74927,44825,15596,29229,30102,29581,521,618269,129606,99390,35437,75177,30216,143548,109243,66404,55401,34305,109313,89777,71904,27006,19536,78002,70170,62841,12211,7832,157800,146316,139311,15681,11484,489820,236156,229610,11556,218054,6546,4786,1760,129453,120724,19565,101159,8729,8316,413,124211,74598,31194,43404,49613,48706,907
ACSSF,2012e1,co,000,0170,0000030,118412,45317,27133,26310,1924,24386,823,667,156,18184,17692,541,17151,492,334,158,47999,21641,21150,1403,19747,491,491,0,26358,25403,2585,22818,955,955,0,25096,8547,4854,1479,3375,3693,3654,39,16549,10941,2366,8575,5608,5553,55,140881,29606,24660,18090,9251,4946,28139,23222,19672,6923,4917,24831,21683,20044,3958,3148,20254,19001,16785,5400,1253,38051,35922,34832,3198,2129,118412,45317,44002,2465,41537,1315,1001,314,47999,46553,3988,42565,1446,1446,0,25096,15795,3845,11950,9301,9207,94
