ACSSF,2012e1,co,000,0176,0000091,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000092,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000093,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000094,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000095,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000096,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000097,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000098,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000099,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000100,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000101,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000102,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000103,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000104,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000105,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000106,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000107,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000108,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000109,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000110,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000111,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000112,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000113,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000114,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000115,,,,,,,,,,,,,,,,
