ACSSF,2012m1,co,000,0129,0000023,3362,1217,1675,1434,989,1897,1230,621,1092,1893,2422,1901,1336,870,2793,460,541,822,525,568,481,560,651,1306,1844,893,367,391,2476,142,189,63,189,407,91,189,179,835,1411,1339,862,531,2476,302,582,646,628,1552,554,317,884,852,726,529,345,530,1953,888,1440,242,365,727,447,362,85,563,63,168,537,180,1821,383,514,1154,301,478,890,120,90,398,200,445,315,133
ACSSF,2012m1,co,000,0129,0000024,2048,359,895,928,507,794,843,630,759,1598,1159,1128,1010,831,2062,271,294,617,137,197,341,383,524,1189,1157,401,417,442,1726,120,189,112,228,64,115,161,72,605,812,962,543,528,1460,101,184,401,422,793,336,390,600,671,527,561,294,465,1132,138,834,164,120,232,469,84,222,149,227,102,193,189,700,189,111,488,165,151,400,189,128,190,104,174,281,159
ACSSF,2012m1,co,000,0129,0000025,4012,490,1874,1385,1163,2345,1758,1063,1611,2409,2249,2412,1269,1545,2956,413,547,806,518,763,695,681,988,1407,1811,1314,272,987,2809,189,126,182,121,443,451,85,538,1368,1545,1741,852,955,2845,170,434,630,694,1741,853,687,936,1007,791,1111,527,693,2036,142,1724,295,244,718,367,364,317,409,195,152,507,191,2264,163,368,893,510,635,1042,189,338,901,448,349,548,120
ACSSF,2012m1,co,000,0129,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0129,0000027,2052,370,585,754,469,1066,498,671,1037,1312,1277,1077,777,452,1855,338,324,517,246,375,276,611,858,1100,1273,409,537,281,1255,66,189,189,189,194,189,189,111,314,504,874,333,149,1662,189,157,475,425,839,312,268,644,565,580,261,122,238,804,42,538,76,86,266,61,141,443,189,102,91,384,189,659,79,97,224,145,243,375,45,189,249,136,129,189,124
ACSSF,2012m1,co,000,0129,0000028,5207,666,1946,1713,1017,2631,1388,1147,1941,2503,2939,2319,1948,2395,3673,167,815,1157,264,823,792,547,1170,1631,2355,1014,1206,1673,2801,189,238,72,159,778,168,143,265,1538,1384,2107,916,1021,3915,504,681,507,657,2242,712,888,1375,1199,922,915,670,675,1980,446,1697,465,65,318,352,467,162,350,282,211,432,748,1891,112,581,1144,529,798,854,162,272,311,416,495,662,263
ACSSF,2012m1,co,000,0129,0000029,4970,1061,2354,2390,1389,3070,1767,1754,2781,4085,4218,3830,2365,2214,5956,653,1159,1404,662,1230,708,1338,2227,3059,3489,1527,1369,1597,4237,189,323,464,212,487,364,93,404,2042,1801,3640,1090,784,4307,587,400,882,932,2369,1256,1126,1951,1406,1377,1007,567,942,2282,483,2088,321,248,352,473,257,310,411,313,437,744,100,2894,218,881,1535,860,1127,1300,204,560,614,229,664,1015,75
ACSSF,2012m1,co,000,0129,0000030,2840,870,993,1533,732,1469,794,816,985,1227,2022,1657,760,631,2333,207,383,963,158,479,415,725,615,908,1492,519,357,426,1960,230,189,115,189,298,189,189,150,642,1066,1346,611,390,2181,98,357,631,463,1251,453,333,842,727,733,468,267,346,1120,519,796,215,118,313,179,104,241,218,87,284,227,139,1540,421,67,922,423,568,539,176,189,295,509,742,68,189
ACSSF,2012m1,co,000,0129,0000031,2085,791,696,956,511,1042,637,505,626,969,1342,1135,570,362,1224,70,217,337,319,294,106,229,333,581,851,443,131,276,1697,189,189,189,189,324,189,189,77,417,963,1080,489,133,1371,273,103,283,272,976,137,269,486,503,377,310,72,169,869,530,610,120,222,159,386,353,189,244,189,32,191,102,1138,380,229,902,224,256,457,189,49,355,149,81,158,189
ACSSF,2012m1,co,000,0129,0000032,2695,303,919,1239,472,1070,608,708,1321,1405,1695,945,795,482,2414,186,550,992,294,448,225,582,1037,1170,1556,483,590,376,1294,189,189,189,189,512,189,132,70,302,551,543,344,333,1870,139,381,339,394,876,499,412,889,748,564,346,340,148,601,69,471,198,189,189,182,130,189,77,189,71,163,189,951,167,178,770,189,184,205,189,268,189,189,220,85,189
ACSSF,2012m1,co,000,0129,0000033,2747,763,1073,1017,599,1370,783,693,1162,1162,1797,1917,1236,724,2190,782,465,500,301,708,214,375,951,943,1623,634,277,452,1686,121,189,159,189,339,306,189,77,414,799,1410,751,354,1704,58,396,363,454,1102,417,483,734,525,545,696,135,470,1178,118,888,398,117,544,106,233,180,100,125,143,217,56,1275,189,189,740,182,466,457,189,152,277,319,574,583,66
ACSSF,2012m1,co,000,0129,0000034,2224,549,864,1501,643,1131,363,676,669,1361,1428,1350,955,444,1938,170,228,953,251,387,189,617,537,1064,1195,525,394,260,1609,189,189,49,189,76,79,189,189,361,857,1185,752,231,1820,58,163,541,560,992,214,158,295,685,332,358,182,154,1102,354,833,142,189,77,165,189,189,162,189,316,509,132,1237,357,142,1031,394,276,234,189,189,299,189,165,343,123
ACSSF,2012m1,co,000,0129,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0129,0000036,2110,277,744,736,536,1128,483,279,425,783,1504,952,634,768,1559,101,322,232,60,560,116,134,341,405,996,276,212,363,1349,160,189,189,189,462,189,189,236,305,801,910,321,436,1665,189,122,269,517,950,238,234,201,710,831,288,245,459,920,201,617,233,189,214,107,66,109,85,295,189,446,36,925,189,117,549,92,437,400,189,68,229,38,320,133,120
ACSSF,2012m1,co,000,0129,0000037,2562,433,1245,1343,909,1427,1093,600,1479,1113,1972,1209,1237,839,2039,328,336,553,258,602,330,458,783,795,1452,480,859,365,1564,189,189,74,189,584,74,93,85,538,595,1152,419,504,2257,189,202,560,535,1278,420,330,1210,561,622,501,179,233,1262,263,1097,252,98,300,230,350,276,200,371,189,454,430,1610,189,236,978,785,349,1055,129,189,506,224,520,509,52
ACSSF,2012m1,co,000,0129,0000038,2476,232,986,1434,628,1265,1039,673,651,1525,1840,1478,918,598,2233,122,702,874,360,394,428,512,438,1067,1569,878,264,541,1626,67,189,132,189,115,189,189,180,663,569,993,404,241,1974,51,131,456,433,1166,582,344,439,611,699,632,302,263,997,180,722,154,78,247,182,282,189,173,78,248,496,189,1351,189,128,883,186,352,641,65,182,350,285,94,269,109
ACSSF,2012m1,co,000,0129,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0129,0000040,5207,666,1946,1713,1017,2631,1388,1147,1941,2503,2939,2319,1948,2395,3673,167,815,1157,264,823,792,547,1170,1631,2355,1014,1206,1673,2801,189,238,72,159,778,168,143,265,1538,1384,2107,916,1021,3915,504,681,507,657,2242,712,888,1375,1199,922,915,670,675,1980,446,1697,465,65,318,352,467,162,350,282,211,432,748,1891,112,581,1144,529,798,854,162,272,311,416,495,662,263
ACSSF,2012m1,co,000,0129,0000041,4012,490,1874,1385,1163,2345,1758,1063,1611,2409,2249,2412,1269,1545,2956,413,547,806,518,763,695,681,988,1407,1811,1314,272,987,2809,189,126,182,121,443,451,85,538,1368,1545,1741,852,955,2845,170,434,630,694,1741,853,687,936,1007,791,1111,527,693,2036,142,1724,295,244,718,367,364,317,409,195,152,507,191,2264,163,368,893,510,635,1042,189,338,901,448,349,548,120
ACSSF,2012m1,co,000,0129,0000042,4970,1061,2354,2390,1389,3070,1767,1754,2781,4085,4218,3830,2365,2214,5956,653,1159,1404,662,1230,708,1338,2227,3059,3489,1527,1369,1597,4237,189,323,464,212,487,364,93,404,2042,1801,3640,1090,784,4307,587,400,882,932,2369,1256,1126,1951,1406,1377,1007,567,942,2282,483,2088,321,248,352,473,257,310,411,313,437,744,100,2894,218,881,1535,860,1127,1300,204,560,614,229,664,1015,75
ACSSF,2012m1,co,000,0129,0000043,2840,870,993,1533,732,1469,794,816,985,1227,2022,1657,760,631,2333,207,383,963,158,479,415,725,615,908,1492,519,357,426,1960,230,189,115,189,298,189,189,150,642,1066,1346,611,390,2181,98,357,631,463,1251,453,333,842,727,733,468,267,346,1120,519,796,215,118,313,179,104,241,218,87,284,227,139,1540,421,67,922,423,568,539,176,189,295,509,742,68,189
ACSSF,2012m1,co,000,0129,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0129,0000045,2085,791,696,956,511,1042,637,505,626,969,1342,1135,570,362,1224,70,217,337,319,294,106,229,333,581,851,443,131,276,1697,189,189,189,189,324,189,189,77,417,963,1080,489,133,1371,273,103,283,272,976,137,269,486,503,377,310,72,169,869,530,610,120,222,159,386,353,189,244,189,32,191,102,1138,380,229,902,224,256,457,189,49,355,149,81,158,189
ACSSF,2012m1,co,000,0129,0000046,2110,277,744,736,536,1128,483,279,425,783,1504,952,634,768,1559,101,322,232,60,560,116,134,341,405,996,276,212,363,1349,160,189,189,189,462,189,189,236,305,801,910,321,436,1665,189,122,269,517,950,238,234,201,710,831,288,245,459,920,201,617,233,189,214,107,66,109,85,295,189,446,36,925,189,117,549,92,437,400,189,68,229,38,320,133,120
ACSSF,2012m1,co,000,0129,0000047,6272,1127,2608,2518,1516,3435,1889,1967,2959,4220,4556,3930,2467,2341,6337,725,1186,1420,722,1238,769,1396,2431,3170,3727,1666,1355,1659,4385,189,323,502,228,504,364,93,435,2095,1875,3930,1190,959,5166,591,445,935,1096,2919,1351,1203,2062,1670,1468,1011,733,1069,2459,500,2219,344,253,361,474,779,310,447,339,437,981,145,3161,218,874,1792,856,1218,1317,204,566,614,391,704,1045,193
ACSSF,2012m1,co,000,0129,0000048,5709,1539,2643,3080,1554,3771,1845,1764,2387,4048,4498,3269,2057,2114,5262,860,1240,2254,702,1463,864,1225,1436,2966,3611,1748,1115,1828,3607,496,165,181,189,636,112,223,498,1625,1713,2342,1216,879,4225,220,763,1135,1270,2772,1056,718,1884,1337,1544,1224,550,549,2934,1226,1831,678,289,549,443,334,549,697,272,722,1009,283,2836,446,253,1675,727,1124,1432,688,352,663,643,790,481,541
ACSSF,2012m1,co,000,0129,0000049,5946,2137,2849,2255,1417,3469,1984,805,1870,2641,3296,3548,2119,2165,4298,1268,1113,833,220,803,946,629,1252,1769,2712,1487,974,1128,4134,510,139,118,189,758,328,325,445,1436,2065,2959,1307,1604,4609,571,558,731,947,2746,1161,510,1395,1494,1462,1313,796,980,2997,1272,2176,576,271,1055,930,339,623,506,560,662,1108,521,3335,755,612,1775,836,1244,1481,119,93,856,609,612,497,406
ACSSF,2012m1,co,000,0129,0000050,6896,2072,2783,2939,1586,2928,1801,1357,2289,2973,4081,3219,2053,1698,4971,1178,1029,1536,807,922,576,1258,1705,2316,3374,1386,814,842,4211,290,70,296,189,477,237,94,323,1215,2106,2408,1237,1173,4926,362,782,1158,1183,2563,685,619,1537,1201,1259,1181,874,839,3004,1444,2354,416,362,887,560,455,258,866,312,405,970,245,2870,696,612,1957,624,1064,1482,252,98,597,328,603,573,185
ACSSF,2012m1,co,000,0129,0000051,5981,1259,2600,2429,1188,3405,1904,1318,2186,3014,3883,2959,2354,2798,4055,432,1067,1365,363,952,882,711,1357,2058,3333,1133,1468,1888,3910,387,317,159,159,785,219,180,320,1726,1789,2647,1099,1303,4955,575,697,677,832,2889,1138,1034,1719,1500,1289,1120,803,1083,2811,771,2066,566,526,594,477,558,174,427,308,301,752,885,2466,413,665,1473,606,1007,1295,162,340,584,549,488,695,306
ACSSF,2012m1,co,000,0129,0000052,5823,1836,2637,2510,1592,3462,2175,1823,2851,3723,3773,3344,2376,2081,4518,1647,1160,1490,718,929,853,1272,2158,2479,3100,1721,1293,1371,3991,587,126,226,121,717,489,189,609,1532,2200,2230,1304,1052,4547,298,696,1005,1099,2675,1097,956,1565,1930,1210,1329,746,931,2534,221,2077,383,265,886,579,583,481,431,225,197,786,264,3087,276,652,1554,788,1091,1421,45,426,1013,480,799,796,196
ACSSF,2012m1,co,000,0129,0000053,6306,1223,3086,3041,1694,3012,2273,1472,2315,3507,4259,4466,3151,2045,5208,895,1215,1621,704,1251,792,907,1558,2285,3640,1693,1076,1248,4672,177,49,273,293,827,363,211,521,1617,1939,3180,1536,1027,4576,612,644,1008,1020,2998,969,900,1800,1463,1528,1491,684,1077,3301,483,2584,805,347,836,649,458,380,368,465,491,1044,489,3413,189,643,2049,870,884,1721,198,276,1140,616,767,1198,307
