ACSSF,2012e1,co,000,0062,0000022,63763,20537,1274,1183,943,1179,1338,1051,966,1496,1082,1460,1080,1018,1090,1697,3182,498,43226,124875,32546,2929,12380,6936,10301,92329,3162,884,168,248,186,282,2278,2737,1091,95,429,308,259,1646,,,,,,,,,,,,,,,16765,5284,831,2471,1329,653,11481,6937,2547,236,1412,491,408,4390,84685,20081,1554,6804,3960,7763,64604,63763,20537,2457,9515,4885,3680,43226
ACSSF,2012e1,co,000,0062,0000023,70423,25784,1804,1047,1885,2215,2098,2027,1468,2048,1069,744,1976,1777,921,1691,3014,0,44639,213515,62226,7010,26607,11542,17067,151289,2746,1287,176,206,463,442,1459,,,,,,,,3406,1333,292,234,104,703,2073,,,,,,,,23463,7895,852,4880,1935,228,15568,6326,3531,597,1093,576,1265,2795,170785,46376,5333,18534,7596,14913,124409,70423,25784,2851,13554,6365,3014,44639
ACSSF,2012e1,co,000,0062,0000024,15105,4785,239,253,347,474,458,323,67,280,149,750,159,166,91,388,641,0,10320,95844,21736,3432,9392,4116,4796,74108,,,,,,,,,,,,,,,1907,527,65,160,227,75,1380,,,,,,,,,,,,,,,2605,1598,242,816,343,197,1007,86337,18924,3113,7894,3530,4387,67413,15105,4785,492,2848,804,641,10320
ACSSF,2012e1,co,000,0062,0000025,89519,33066,2544,2299,2935,3160,2457,1346,1474,2004,1527,2608,1461,1475,1660,2592,3335,189,56453,214392,55633,6812,23680,10919,14222,158759,53916,18538,1663,7952,3975,4948,35378,,,,,,,,14324,4558,177,1816,1323,1242,9766,,,,,,,,19210,6791,920,3614,1559,698,12419,17987,8484,1367,3562,2315,1240,9503,157201,35233,3959,12944,6456,11874,121968,89519,33066,4843,17511,7188,3524,56453
ACSSF,2012e1,co,000,0062,0000026,,,,,,,,,,,,,,,,,,,,89951,39544,2356,5986,2283,28919,50407,,,,,,,,,,,,,,,3674,1941,0,316,68,1557,1733,,,,,,,,,,,,,,,2830,1818,0,408,83,1327,1012,83808,35799,1591,5353,1902,26953,48009,8656,5003,765,1040,535,2663,3653
ACSSF,2012e1,co,000,0062,0000027,7530,3182,169,293,95,205,42,163,120,307,193,167,117,386,78,121,439,287,4348,86450,23939,2652,10028,6264,4995,62511,2525,829,115,365,18,331,1696,,,,,,,,4489,1299,144,456,194,505,3190,,,,,,,,,,,,,,,2780,1663,374,652,312,325,1117,83093,22934,2481,9633,6002,4818,60159,7530,3182,462,1292,702,726,4348
ACSSF,2012e1,co,000,0062,0000028,70593,25182,1064,1603,1193,1374,1859,1876,2129,737,1389,1616,990,1194,809,1874,4842,633,45411,336506,94064,11491,34613,16259,31701,242442,27662,8947,768,3843,2055,2281,18715,,,,,,,,13108,2966,127,1066,528,1245,10142,,,,,,,,18291,4973,225,2055,1494,1199,13318,17725,9643,719,3779,2185,2960,8082,290297,76734,9389,26132,13314,27899,213563,70593,25182,2667,12173,4867,5475,45411
ACSSF,2012e1,co,000,0062,0000029,187380,63941,4622,4295,4687,3915,3664,3613,2956,3631,3410,4746,3013,3835,2711,4396,9445,1002,123439,458798,107555,14508,38007,16367,38673,351243,61564,18369,2268,6873,3824,5404,43195,5853,1953,96,969,262,626,3900,20600,4791,169,1906,545,2171,15809,,,,,,,,37119,11530,1233,6539,2025,1733,25589,20612,9385,2053,3587,1224,2521,11227,322045,61528,8298,16575,5518,31137,260517,187380,63941,8917,30622,13955,10447,123439
ACSSF,2012e1,co,000,0062,0000030,15982,6390,471,242,226,133,481,127,310,44,385,383,178,174,363,44,2613,216,9592,127391,47324,4050,9453,4320,29501,80067,,,,,,,,,,,,,,,4220,2189,94,395,59,1641,2031,,,,,,,,,,,,,,,5969,3105,168,1108,491,1338,2864,116426,42896,3468,8196,3764,27468,73530,15982,6390,713,2089,759,2829,9592
ACSSF,2012e1,co,000,0062,0000031,29981,10857,742,326,880,698,860,868,764,660,566,356,492,879,443,580,1743,0,19124,67163,21502,923,6578,3254,10747,45661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15755,5325,572,3405,1120,228,10430,3126,1970,279,565,272,854,1156,55349,17236,706,4641,2252,9637,38113,29981,10857,1068,5652,2394,1743,19124
