ACSSF,2011e1,co,000,0018,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,4841,2754,2087,459,241,374,271,254,204,284,107584,102743,4841,23517,14271,13332,939,9246,8497,749,4841,2754,2087,700,899,488
ACSSF,2011e1,co,000,0018,0000037,36207,5781,2818,1513,835,470,2963,1570,1393,5203,3093,972,557,1564,2110,1699,411,25223,19800,17748,1027,1025,5423,5062,361,10015,6404,3611,998,473,666,353,51,326,744,121449,111434,10015,36207,10984,5754,5230,25223,22810,2413,10015,6404,3611,1471,1070,1070
ACSSF,2011e1,co,000,0018,0000038,22104,3058,1823,685,1138,0,1235,821,414,4009,2052,1225,827,0,1957,1957,0,15037,11323,9115,931,1277,3714,3651,63,11439,6322,5117,798,709,1227,699,663,242,779,107950,96511,11439,22104,7067,4688,2379,15037,12766,2271,11439,6322,5117,1507,2589,1021
ACSSF,2011e1,co,000,0018,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,9072,5502,3570,558,413,567,492,128,245,1167,98903,89831,9072,12773,3327,1812,1515,9446,7839,1607,9072,5502,3570,971,1187,1412
ACSSF,2011e1,co,000,0018,0000040,102105,21904,7764,3939,3275,550,14140,13669,471,21953,14333,10328,3104,901,7620,7043,577,58248,48292,41544,3292,3456,9956,9425,531,33595,16115,17480,4819,3255,2443,659,1023,1097,4184,426406,392811,33595,102105,43857,34979,8878,58248,50969,7279,33595,16115,17480,8074,4125,5281
ACSSF,2011e1,co,000,0018,0000041,86954,19607,8652,3194,4826,632,10955,5519,5436,27676,16860,7192,7087,2581,10816,7375,3441,39671,29284,18915,5816,4553,10387,9292,1095,68467,48955,19512,7421,3053,2968,1377,1165,1451,2077,332551,264084,68467,86954,47283,23280,24003,39671,28207,11464,68467,48955,19512,10474,5510,3528
ACSSF,2011e1,co,000,0018,0000042,129285,32374,11002,2519,6303,2180,21372,14574,6798,34777,22921,4770,16012,2139,11856,7431,4425,62134,48933,37058,6837,5038,13201,11742,1459,101085,68676,32409,8940,7828,5283,2235,3153,1210,3760,619968,518883,101085,129285,67151,29294,37857,62134,48800,13334,101085,68676,32409,16768,10671,4970
ACSSF,2011e1,co,000,0018,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,8585,4849,3736,1706,452,147,212,578,134,507,146777,138192,8585,27978,8206,7659,547,19772,18165,1607,8585,4849,3736,2158,937,641
ACSSF,2011e1,co,000,0018,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68203,63916,4287,16081,7548,5962,1586,8533,7988,545,4287,2545,1742,168,1000,574
ACSSF,2011e1,co,000,0018,0000045,21647,7299,3119,933,1643,543,4180,3496,684,5801,3112,1494,1218,400,2689,2411,278,8547,6989,5170,1520,299,1558,1407,151,,,,,,,,,,,94966,84703,10263,21647,13100,8334,4766,8547,6577,1970,10263,7448,2815,1209,1312,294
ACSSF,2011e1,co,000,0018,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,4841,2754,2087,459,241,374,271,254,204,284,107584,102743,4841,23517,14271,13332,939,9246,8497,749,4841,2754,2087,700,899,488
ACSSF,2011e1,co,000,0018,0000047,141642,35653,11865,2664,7021,2180,23788,16301,7487,37413,23731,5214,16378,2139,13682,8223,5459,68576,54321,40904,7550,5867,14255,12796,1459,110141,75194,34947,10090,8313,5490,2235,3588,1282,3949,680107,569966,110141,141642,73066,32402,40664,68576,53700,14876,110141,75194,34947,18403,11313,5231
ACSSF,2011e1,co,000,0018,0000048,167856,27090,10135,4773,4221,1141,16955,12417,4538,28055,17730,9820,5502,2408,10325,9000,1325,112711,92294,76752,7742,7800,20417,19441,976,76006,48099,27907,7200,4781,4768,3329,1952,1275,4602,740269,664263,76006,167856,55145,36010,19135,112711,96193,16518,76006,48099,27907,11981,10049,5877
ACSSF,2011e1,co,000,0018,0000049,152341,27517,8796,5679,2540,577,18721,17410,1311,42149,29155,24098,3449,1608,12994,10980,2014,82675,68548,61906,2732,3910,14127,13697,430,35013,22683,12330,3878,1636,2006,581,1107,857,2265,705110,670097,35013,152341,69666,58167,11499,82675,75603,7072,35013,22683,12330,5514,3694,3122
ACSSF,2011e1,co,000,0018,0000050,166055,29531,12744,5416,5413,1915,16787,14126,2661,42366,30713,21124,5883,3706,11653,10144,1509,94158,79270,68320,5601,5349,14888,14260,628,60918,43440,17478,5891,2058,3065,995,2008,698,2763,740121,679203,60918,166055,71897,50810,21087,94158,82580,11578,60918,43440,17478,7949,6068,3461
ACSSF,2011e1,co,000,0018,0000051,173668,31097,10490,5688,3375,1427,20607,19870,737,38127,24831,19773,3231,1827,13296,12409,887,104444,86650,74943,4883,6824,17794,16834,960,49874,23609,26265,6380,4230,3543,1122,2219,1969,6802,738236,688362,49874,173668,69224,57740,11484,104444,91777,12667,49874,23609,26265,10610,6884,8771
ACSSF,2011e1,co,000,0018,0000052,213271,16829,6731,5418,652,661,10098,7989,2109,24313,16107,10768,2635,2704,8206,7630,576,172129,144842,123342,8828,12672,27287,26601,686,62351,30416,31935,9387,4784,5163,3649,2961,2473,3518,816759,754408,62351,213271,41142,31805,9337,172129,149943,22186,62351,30416,31935,14171,11773,5991
ACSSF,2011e1,co,000,0018,0000053,164236,36798,15455,5392,7245,2818,21343,13661,7682,43770,24417,10096,10799,3522,19353,14415,4938,83668,62825,48520,8674,5631,20843,18699,2144,100457,73567,26890,10015,3722,3270,1642,1682,2031,4528,696194,595737,100457,164236,80568,43564,37004,83668,67219,16449,100457,73567,26890,13737,6594,6559
