ACSSF,2011e1,co,000,0175,0000022,160545,97,160448,160545,1350,159195,160545,8858,151687,160545,4832,155713,160545,154837,3960,150877,5708,272,5436,8095,2387,443,1944,5708,459,5249,,,,,,,,2542,429,2113,160545,11692,148853,158718,6958,151760,158718,23859,2050,705,1345,21809,134859,66081,3807,62274,66081,4703,390,4313,61378,66081,61529,4233,57296,4552,66081,63958,7769,56189,2123,66081,63958,5743,58215,2123,65515,668,64847
ACSSF,2011e1,co,000,0175,0000023,258638,529,258109,258638,5414,253224,258638,6541,252097,258638,3580,255058,258638,240650,14842,225808,17988,1896,16092,19479,1491,158,1333,17988,3473,14515,,,,,,,,5737,934,4803,258638,28377,230261,254152,19410,234742,254152,51830,10309,2446,7863,41521,202322,117716,13569,104147,117716,16657,1996,14661,101059,117716,103430,12058,91372,14286,117716,111574,20082,91492,6142,117716,111574,18669,92905,6142,116798,2024,114774
ACSSF,2011e1,co,000,0175,0000024,107326,105,107221,107326,1027,106299,107326,2475,104851,107326,1937,105389,107326,103318,1827,101491,4008,83,3925,4755,747,286,461,4008,359,3649,,,,,,,,2170,201,1969,107326,4814,102512,105696,5204,100492,105696,16268,4284,1405,2879,11984,89428,53600,3184,50416,53600,4773,921,3852,48827,53600,48218,3279,44939,5382,53600,51058,8247,42811,2542,53600,51058,4920,46138,2542,53511,825,52686
ACSSF,2011e1,co,000,0175,0000025,332551,831,331720,332551,2644,329907,332551,3761,328790,332551,6326,326225,332551,264084,7491,256593,68467,2521,65946,72372,3905,296,3609,68467,4012,64455,,,,,,,,19512,2598,16914,332551,17112,315439,326049,14356,311693,326049,79031,6935,435,6500,72096,247018,156398,8923,147475,156398,11403,1253,10150,144995,156398,137409,8550,128859,18989,156398,151168,14603,136565,5230,156398,151168,11242,139926,5230,156086,1271,154815
ACSSF,2011e1,co,000,0175,0000026,98903,49,98854,98903,516,98387,98903,1892,97011,98903,840,98063,98903,89831,958,88873,9072,244,8828,10933,1861,81,1780,9072,73,8999,,,,,,,,3570,272,3298,98903,5881,93022,98030,2026,96004,98030,39186,2217,115,2102,36969,58844,53388,2407,50981,53388,2090,189,1901,51298,53388,32238,1632,30606,21150,53388,47100,5067,42033,6288,53388,47100,3434,43666,6288,51771,229,51542
ACSSF,2011e1,co,000,0175,0000027,102621,41,102580,102621,1433,101188,102621,1391,101230,102621,1785,100836,102621,93686,2619,91067,8935,82,8853,10960,2025,448,1577,8935,248,8687,,,,,,,,4813,337,4476,102621,5958,96663,101730,4632,97098,101730,15047,1581,351,1230,13466,86683,53284,2845,50439,53284,3704,714,2990,49580,53284,45651,2685,42966,7633,53284,49267,5743,43524,4017,53284,49267,3812,45455,4017,53272,486,52786
ACSSF,2011e1,co,000,0175,0000028,426406,958,425448,426406,9805,416601,426406,10649,415757,426406,9808,416598,426406,392811,12628,380183,33595,2480,31115,45076,11481,514,10967,33595,3782,29813,,,,,,,,17480,3072,14408,426406,30081,396325,420732,19667,401065,420732,110477,9028,962,8066,101449,310255,194842,11529,183313,194842,14612,1542,13070,180230,194842,176058,12089,163969,18784,194842,185814,23164,162650,9028,194842,185814,18504,167310,9028,193393,1995,191398
ACSSF,2011e1,co,000,0175,0000029,619968,765,619203,619968,6208,613760,619968,11696,608272,619968,9541,610427,619968,518883,9982,508901,101085,2609,98476,108743,7658,798,6860,101085,8529,92556,,,,,,,,32409,5135,27274,619968,32901,587067,610005,18267,591738,610005,147563,10982,2468,8514,136581,462442,315036,14160,300876,315036,21005,5228,15777,294031,315036,251126,13953,237173,63910,315036,297253,36153,261100,17783,315036,297253,29330,267923,17783,311400,3002,308398
ACSSF,2011e1,co,000,0175,0000030,146777,237,146540,146777,1442,145335,146777,2026,144751,146777,1661,145116,146777,138192,9055,129137,8585,1287,7298,9820,1235,0,1235,8585,1350,7235,,,,,,,,3736,530,3206,146777,14235,132542,145314,11846,133468,145314,38734,3756,130,3626,34978,106580,76972,6596,70376,76972,7133,751,6382,69839,76972,62327,6234,56093,14645,76972,72461,9065,63396,4511,76972,72461,8265,64196,4511,75346,1192,74154
ACSSF,2011e1,co,000,0175,0000031,94966,51,94915,94966,1571,93395,94966,3183,91783,94966,1571,93395,94966,84703,3231,81472,10263,316,9947,10463,200,0,200,10263,1248,9015,,,,,,,,2815,141,2674,94966,7230,87736,94012,4710,89302,94012,25360,3705,1312,2393,21655,68652,40977,3286,37691,40977,4008,284,3724,36969,40977,35531,2880,32651,5446,40977,39562,5580,33982,1415,40977,39562,5307,34255,1415,40082,322,39760
