ACSSF,2011e1,co,000,0129,0000022,66376,982,4684,6246,1373,8471,2312,1825,3109,6189,17800,6837,2688,3860,20785,216,738,1738,41,1308,755,422,1022,2363,9662,702,512,1306,16179,320,80,57,0,158,0,33,88,1588,5169,5371,1053,2262,16958,62,341,990,360,5927,615,1118,1929,1432,2757,764,477,186,5361,384,3376,307,0,129,327,36,70,189,89,0,378,76,7093,0,149,3154,972,949,615,216,0,617,123,0,268,30
ACSSF,2011e1,co,000,0129,0000023,118638,6807,9297,12400,3640,16181,6566,2562,6465,11530,25120,9312,4738,4020,40947,1513,1635,3243,1098,1251,1147,1251,2701,7529,14552,2266,831,1930,17685,244,0,396,185,665,0,40,164,1457,5662,5794,2028,1050,28300,415,246,2035,1550,11508,875,321,3542,1631,3724,999,414,1040,16272,3119,7095,1570,376,721,730,837,58,473,422,98,773,0,15434,1516,321,5156,431,2036,3814,113,0,440,760,155,692,0
ACSSF,2011e1,co,000,0129,0000024,54485,1103,3495,4980,2947,7357,3533,836,3173,6321,10491,4435,3238,2576,21058,322,1147,1607,544,617,965,418,1537,3988,7371,816,628,1098,7747,28,0,25,0,455,0,0,40,739,1636,2952,1052,820,14862,86,243,912,1307,5377,1123,384,1521,1362,1029,507,463,548,5486,667,1970,552,627,334,120,34,0,134,308,97,614,29,5332,0,135,1884,469,574,1325,0,75,98,147,63,481,81
ACSSF,2011e1,co,000,0129,0000025,158229,442,12316,9626,5599,21618,9456,6189,12326,19771,27180,17944,8334,7428,46609,179,1067,3482,482,1707,714,2469,6144,7513,15274,2512,1539,3527,30086,0,181,100,0,1065,757,47,284,4686,6915,11980,3084,987,44202,74,446,1711,3776,14591,2375,2336,5269,4236,3977,2064,840,2507,18715,86,10189,293,102,1426,744,1128,347,2037,339,68,1673,283,18617,103,433,4040,1239,2829,4866,209,282,1299,675,1320,1198,124
ACSSF,2011e1,co,000,0129,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0129,0000027,54342,603,2458,2903,1775,7216,2138,3178,6780,8792,10965,3277,2449,1808,27263,411,955,1178,455,439,864,1964,4344,5953,8041,858,968,833,4948,0,0,0,0,347,0,0,237,821,1353,1702,170,318,16597,158,296,856,1086,5699,538,1162,2053,1711,1441,521,468,608,2640,34,1207,330,0,154,117,52,0,90,56,0,551,49,2894,0,0,539,234,577,619,0,146,217,74,196,292,0
ACSSF,2011e1,co,000,0129,0000028,189557,2329,10049,13567,4760,21583,7082,5209,12047,23305,43796,20347,12310,13173,77972,1384,2192,6099,538,2822,1509,2411,5310,13817,28623,3778,3442,6047,37009,89,120,61,70,1171,0,61,424,2711,9353,14160,4527,4262,44576,362,975,1650,2854,14189,1578,1661,5239,5368,5227,1738,1797,1938,13290,415,6099,850,207,993,509,957,809,379,158,0,1492,422,16710,79,663,4907,1091,2408,3486,119,265,1030,435,671,1052,504
ACSSF,2011e1,co,000,0129,0000029,319442,3091,21289,16514,10445,29422,14677,10127,24660,55337,65832,38039,15956,14053,139829,1833,4206,5559,2008,4229,1904,6303,12818,34625,47099,8011,4546,6688,57400,0,35,213,0,1548,390,0,1533,9288,9913,24504,5465,4511,71052,412,942,2582,4829,19682,4506,2584,9568,9184,6770,4588,2800,2605,23058,637,15180,461,255,1069,966,969,93,961,585,53,1671,158,28103,209,926,7699,3353,2894,6911,271,648,1279,1465,883,1474,91
ACSSF,2011e1,co,000,0129,0000030,78118,1551,4266,6898,2021,8892,1696,1667,3595,10732,22284,8807,3245,2464,38293,1055,1109,3811,393,1091,389,900,1778,7303,15773,2397,732,1562,11098,0,50,0,0,291,64,0,266,813,3313,4458,1561,282,18807,150,319,1067,1335,6233,476,632,1364,2060,2711,1275,565,620,5110,212,2788,682,71,443,131,68,84,200,129,98,204,0,4810,134,0,1338,222,834,636,67,103,356,358,579,183,0
ACSSF,2011e1,co,000,0129,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
