ACSSF,2011m1,co,000,0018,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,1854,1499,1115,688,333,209,234,380,134,316,59,1848,1854,2051,2468,2420,392,2637,2709,981,1854,1499,1115,842,451,338
ACSSF,2011m1,co,000,0018,0000031,2738,2108,2063,912,1824,622,1720,1757,707,2181,1659,1573,801,495,1551,1501,459,2153,2133,1741,1342,272,850,810,164,,,,,,,,,,,33,2823,2824,2738,3091,2949,2235,2153,1971,1359,2824,2704,1641,859,866,320
ACSSF,2011m1,co,000,0018,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,2040,1598,1216,513,82,656,582,282,307,303,5248,5445,2040,3087,1786,1743,426,3211,3671,1678,2040,1598,1216,522,941,435
ACSSF,2011m1,co,000,0018,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,2345,2018,956,396,434,320,355,324,245,503,47,2344,2345,2363,2287,2136,1039,2208,2142,983,2345,2018,956,579,688,573
ACSSF,2011m1,co,000,0018,0000034,2076,1699,1185,201,1186,64,1223,914,464,1387,948,486,489,719,838,565,624,1942,1997,1773,1008,637,1092,1092,201,2341,2173,1284,948,503,690,118,201,201,303,36,2339,2341,2076,1911,1103,1469,1942,1927,1021,2341,2173,1284,1089,682,303
ACSSF,2011m1,co,000,0018,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1623,1619,1558,1802,1817,1195,1673,1687,580,1619,1518,666,259,606,422
ACSSF,2011m1,co,000,0018,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1005,692,314,180,360,203,260,245,176,30,1170,1170,1758,1840,1877,512,1744,1729,450,1170,1005,692,340,521,309
ACSSF,2011m1,co,000,0018,0000037,2685,2023,1398,923,748,768,1564,955,1282,2270,2005,691,502,1648,1013,840,435,2922,2734,2680,877,746,1999,1939,433,2450,2293,952,500,348,394,263,85,271,431,65,2457,2450,2685,2855,1582,2334,2922,3052,1245,2450,2293,952,636,448,528
ACSSF,2011m1,co,000,0018,0000038,2491,1259,1044,976,944,201,705,626,365,1538,991,617,781,201,1171,1171,201,2118,1949,1920,548,777,1035,1025,106,2686,2169,1239,473,413,766,661,398,267,384,70,2690,2686,2491,1772,1721,1303,2118,2093,915,2686,2169,1239,652,1119,485
ACSSF,2011m1,co,000,0018,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,1613,1498,836,371,258,379,347,154,241,491,56,1616,1613,1683,1181,817,921,1480,1490,593,1613,1498,836,473,516,579
ACSSF,2011m1,co,000,0018,0000040,3350,4239,3278,1935,2528,832,2960,3000,375,3722,2764,2587,1589,1154,2585,2536,639,4506,3978,3748,1465,2124,2332,2260,353,4035,2699,2897,1218,1534,1008,384,499,415,1328,75,4030,4035,3350,4584,4651,2987,4506,4534,2510,4035,2699,2897,2134,1057,1394
ACSSF,2011m1,co,000,0018,0000041,3397,2973,2360,1635,1556,609,3022,2429,1718,3501,3266,3099,2223,1526,2450,2100,1490,3634,3336,3115,2083,1945,2988,3086,506,4855,4687,2748,1740,1172,1172,907,558,774,653,533,4959,4855,3397,3968,3797,3486,3634,3281,2688,4855,4687,2748,2225,1492,1079
ACSSF,2011m1,co,000,0018,0000042,1615,4114,2414,1631,1847,1034,3978,3227,2325,4527,4200,1640,4121,1559,2362,1748,1750,4323,4089,3495,2030,1411,2407,2026,1105,6504,5569,3345,1668,2268,1344,713,1093,522,1148,0,6504,6504,1615,4292,4160,4901,4323,3802,2691,6504,5569,3345,2781,2126,1211
ACSSF,2011m1,co,000,0018,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,1854,1499,1115,688,333,209,234,380,134,316,59,1848,1854,2051,2468,2420,392,2637,2709,981,1854,1499,1115,842,451,338
ACSSF,2011m1,co,000,0018,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1623,1619,1558,1802,1817,1195,1673,1687,580,1619,1518,666,259,606,422
ACSSF,2011m1,co,000,0018,0000045,2738,2108,2063,912,1824,622,1720,1757,707,2181,1659,1573,801,495,1551,1501,459,2153,2133,1741,1342,272,850,810,164,,,,,,,,,,,33,2823,2824,2738,3091,2949,2235,2153,1971,1359,2824,2704,1641,859,866,320
ACSSF,2011m1,co,000,0018,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1005,692,314,180,360,203,260,245,176,30,1170,1170,1758,1840,1877,512,1744,1729,450,1170,1005,692,340,521,309
ACSSF,2011m1,co,000,0018,0000047,2904,4598,2616,1638,2129,1034,4246,3452,2398,4616,4186,1707,4117,1559,2757,1863,2138,4773,4482,3808,2077,1410,2569,2187,1105,7060,5843,3410,1935,2361,1324,713,1050,524,1169,3963,6854,7060,2904,4926,4462,5234,4773,4026,2817,7060,5843,3410,3076,2082,1223
ACSSF,2011m1,co,000,0018,0000048,5655,5061,3158,2900,1589,963,3877,3946,2134,4509,3939,2966,1577,1772,2681,2233,931,6769,6147,5401,2247,1972,3174,3134,682,5526,4902,3171,1720,1439,1308,1324,701,577,1185,7652,8688,5526,5655,6321,5495,3555,6769,6266,2808,5526,4902,3171,2303,1819,1312
ACSSF,2011m1,co,000,0018,0000049,2744,3215,2159,1892,1070,475,2893,2811,899,4321,3885,3555,1421,1164,2794,2526,1414,4449,4383,4107,1067,1261,2459,2325,344,3159,2721,1982,1264,579,915,290,483,567,562,2388,3932,3159,2744,4475,4237,2187,4449,4299,1624,3159,2721,1982,1378,1072,912
ACSSF,2011m1,co,000,0018,0000050,4446,4789,3725,1775,2844,1779,3621,3624,1221,6598,6401,5820,2118,1537,2508,2436,846,6336,6079,5703,2049,1756,2505,2530,575,5062,4928,2415,1518,841,1068,483,951,420,857,5983,8486,5062,4446,6505,6467,4291,6336,6152,2518,5062,4928,2415,1810,1478,926
ACSSF,2011m1,co,000,0018,0000051,2920,4722,3574,2119,2541,1146,3040,3086,485,4879,4319,3908,1616,1394,3210,3150,730,5312,4554,4599,1499,2465,2915,3010,769,4202,2895,3086,1458,1470,1108,421,780,577,1599,3171,5094,4202,2920,5614,5164,3142,5312,5579,2814,4202,2895,3086,2283,1332,1704
