ACSSF,2011e1,co,000,0009,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187478,7310,296,967,211,1071,1894,11059,2122,4199,807,26045,283,279,14085,12960,119,1506,2245,532,871,1480,2576,278,316,2452,157,12,529,233,90584
ACSSF,2011e1,co,000,0009,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294930,15580,83,346,1069,3944,3839,20279,3065,3961,2319,65443,256,838,26433,10299,207,4081,6473,289,3005,1766,10361,63,94,7143,808,490,2253,0,100143
ACSSF,2011e1,co,000,0009,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133398,5479,75,538,1248,1252,1315,14504,2522,2684,998,28665,433,366,16867,8078,298,1733,2667,95,1155,1126,2482,184,656,2892,594,244,1063,51,33134
ACSSF,2011e1,co,000,0009,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400136,11421,2260,1154,783,2357,3321,23440,3390,6892,1354,47607,1443,1044,28552,10935,1321,5769,4909,139,4076,3774,6336,306,8965,5425,1193,640,2299,2471,206560
ACSSF,2011e1,co,000,0009,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132174,3043,558,1055,1276,992,2277,12992,3886,5267,600,22533,796,1332,16461,6920,1096,2420,4475,146,2563,1955,2803,188,372,2731,667,351,1416,0,31003
ACSSF,2011e1,co,000,0009,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131931,5152,656,501,741,1185,2698,15519,1360,2867,298,27836,0,408,13697,5637,151,2475,3941,175,1796,1162,3459,324,2585,2353,600,333,760,44,33218
ACSSF,2011e1,co,000,0009,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529731,29239,4069,2463,2309,1899,8908,42037,9058,13763,2608,94449,2214,1992,49062,25310,809,7745,10072,727,4742,6584,12665,682,1418,7700,1948,811,6095,1045,177308
ACSSF,2011e1,co,000,0009,0000029,735937,0,44,0,20563,3632,428,23,119,464,203,23,146,1154,1072,62,65,142,1675,64,980,602,3319,204,251,952,0,0,1065,0,3545,675,2252,9872,808,47797,62,13054,1079,13667,2879,91273,0,3763,89,2452,67,818,64549,746,27022,71,970,0,51,0,35,1609,11008,0,16282,1344,1399,7319,1810,5891,11105,565,335,285,695,0,10303,0,2739,313,0,0,431,0,67,1253,459,0,0,0,4549,492,10930,2232,248,2222,5508,313,0,130,0,0,63,31,48,41,0,0,0,0,854,322464,735937,20563,3632,3319,3545,2252,9872,47797,13054,13667,2879,91273,3763,2452,64549,27022,970,11008,16282,1344,7319,5891,11105,285,10303,10930,2232,2222,5508,313,340586
ACSSF,2011e1,co,000,0009,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189840,6240,1025,927,2219,1371,4157,19749,5502,6870,1147,38930,961,636,18630,11669,299,4892,4808,474,2636,2548,4741,324,376,6938,667,274,1021,52,39757
ACSSF,2011e1,co,000,0009,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107213,5174,0,122,250,2041,1129,7647,1086,2014,271,19310,38,412,9922,2391,54,1595,768,28,478,786,1571,0,0,1714,418,87,1181,0,46726
