ACSSF,2010e1,co,000,0043,0000053,303037,12592,13681,16499,31616,32553,47187,28993,30405,15654,21767,8051,4437,20864,18738,303037,5993,21978,38853,43083,46871,24390,55152,9866,14387,23674,12039,6751,303037,12592,13681,16499,31616,32553,47187,28993,30405,15654,73857,303037,27971,38853,43083,46871,24390,55152,24253,23674,18790
ACSSF,2010e1,co,000,0043,0000054,56236,1819,2066,2425,4601,4726,8090,9341,5640,2673,3970,2607,517,3935,3826,56236,6151,14084,7497,5378,4703,1728,4462,1655,1865,3637,3051,2025,56236,1819,2066,2425,4601,4726,8090,9341,5640,2673,14855,56236,20235,7497,5378,4703,1728,4462,3520,3637,5076
ACSSF,2010e1,co,000,0043,0000055,69540,2618,2314,2762,5178,6856,11357,11846,8008,4711,3923,1577,857,4832,2701,69540,2092,5435,9728,13556,10699,5564,8354,2702,2855,4062,3333,1160,69540,2618,2314,2762,5178,6856,11357,11846,8008,4711,13890,69540,7527,9728,13556,10699,5564,8354,5557,4062,4493
ACSSF,2010e1,co,000,0043,0000056,57726,3374,1200,2553,3848,8835,7465,10321,5246,2291,3754,1489,712,4075,2563,57726,3129,7920,11410,15279,8398,2951,3120,1068,492,1367,1271,1321,57726,3374,1200,2553,3848,8835,7465,10321,5246,2291,12593,57726,11049,11410,15279,8398,2951,3120,1560,1367,2592
ACSSF,2010e1,co,000,0043,0000057,66212,1860,1255,2714,3454,4860,8396,9894,7507,6105,6371,1548,825,5901,5522,66212,1457,10454,17317,15651,8665,2316,3247,593,1286,1974,2137,1115,66212,1860,1255,2714,3454,4860,8396,9894,7507,6105,20167,66212,11911,17317,15651,8665,2316,3247,1879,1974,3252
ACSSF,2010e1,co,000,0043,0000058,110893,5952,5327,8226,12740,11819,14355,11816,10241,4032,5942,2376,1121,8322,8624,110893,3097,11425,15718,19088,14504,5313,14617,2916,4727,9404,7849,2235,110893,5952,5327,8226,12740,11819,14355,11816,10241,4032,26385,110893,14522,15718,19088,14504,5313,14617,7643,9404,10084
ACSSF,2010e1,co,000,0043,0000059,59056,2673,1965,3635,5711,6187,9727,7734,4945,2539,3183,1487,590,4439,4241,59056,8290,12325,9369,5932,4333,2077,3689,1030,2132,4612,3333,1934,59056,2673,1965,3635,5711,6187,9727,7734,4945,2539,13940,59056,20615,9369,5932,4333,2077,3689,3162,4612,5267
ACSSF,2010e1,co,000,0043,0000060,38445,1332,986,2114,2904,3595,6405,7438,3934,1247,2250,1386,475,2122,2257,38445,3501,9203,5355,4702,3279,1358,4138,589,707,2701,1875,1037,38445,1332,986,2114,2904,3595,6405,7438,3934,1247,8490,38445,12704,5355,4702,3279,1358,4138,1296,2701,2912
ACSSF,2010e1,co,000,0043,0000061,59318,1890,2433,3679,5489,5900,7371,9405,4610,2699,2918,2118,960,5445,4401,59318,2397,9514,12324,14526,9084,2052,2874,720,806,2430,1341,1250,59318,1890,2433,3679,5489,5900,7371,9405,4610,2699,15842,59318,11911,12324,14526,9084,2052,2874,1526,2430,2591
ACSSF,2010e1,co,000,0043,0000062,70861,2847,2346,3736,4636,6539,9421,14853,7588,3369,4383,2060,1712,3395,3976,70861,5106,13919,13149,11213,8902,1994,5876,1039,761,3948,2762,2192,70861,2847,2346,3736,4636,6539,9421,14853,7588,3369,15526,70861,19025,13149,11213,8902,1994,5876,1800,3948,4954
ACSSF,2010e1,co,000,0043,0000063,73047,1471,920,1990,4660,5189,7287,14117,10126,4991,8082,3855,1248,5843,3268,73047,10188,14936,11920,8842,8611,3458,6466,1929,1232,2872,1662,931,73047,1471,920,1990,4660,5189,7287,14117,10126,4991,22296,73047,25124,11920,8842,8611,3458,6466,3161,2872,2593
ACSSF,2010e1,co,000,0043,0000064,51275,1250,1020,1300,4632,6099,8823,6666,5980,3295,4042,1735,891,2186,3356,51275,1624,4406,5036,4956,5451,3697,9130,2682,3132,6185,3831,1145,51275,1250,1020,1300,4632,6099,8823,6666,5980,3295,12210,51275,6030,5036,4956,5451,3697,9130,5814,6185,4976
ACSSF,2010e1,co,000,0043,0000065,61497,1275,2000,3037,4968,4692,8389,9962,7998,3812,5186,1867,447,3472,4392,61497,1622,6979,10542,8400,9318,5754,7817,1357,2687,3336,2606,1079,61497,1275,2000,3037,4968,4692,8389,9962,7998,3812,15364,61497,8601,10542,8400,9318,5754,7817,4044,3336,3685
ACSSF,2010e1,co,000,0043,0000066,48317,173,542,767,1586,2834,5228,6093,8198,5987,5434,2268,914,4617,3676,48317,1441,6563,14102,8243,6732,2434,2627,615,1464,2889,832,375,48317,173,542,767,1586,2834,5228,6093,8198,5987,16909,48317,8004,14102,8243,6732,2434,2627,2079,2889,1207
ACSSF,2010e1,co,000,0043,0000067,56589,916,1414,2636,3818,5973,10227,8595,6679,3693,3332,1656,778,2877,3995,56589,1050,5367,6771,8581,9376,4410,8449,2776,3219,4066,1908,616,56589,916,1414,2636,3818,5973,10227,8595,6679,3693,12638,56589,6417,6771,8581,9376,4410,8449,5995,4066,2524
ACSSF,2010e1,co,000,0043,0000068,58316,3234,2266,2972,6094,5866,9845,5241,7917,1937,2943,1853,709,2959,4480,58316,386,3420,6561,8185,9610,4084,12061,2358,2507,6109,2139,896,58316,3234,2266,2972,6094,5866,9845,5241,7917,1937,12944,58316,3806,6561,8185,9610,4084,12061,4865,6109,3035
ACSSF,2010e1,co,000,0043,0000069,60687,2876,2717,2603,8834,6193,10969,5488,5415,1857,3526,1243,1011,3032,4923,60687,551,3232,6531,8169,10110,4753,12168,1901,3603,5643,2719,1307,60687,2876,2717,2603,8834,6193,10969,5488,5415,1857,13735,60687,3783,6531,8169,10110,4753,12168,5504,5643,4026
ACSSF,2010e1,co,000,0043,0000070,64497,3520,3545,3218,8987,5126,11746,5742,6576,2953,2172,1342,961,4886,3723,64497,1170,4483,6121,8285,11002,4674,12175,2307,3251,5591,4276,1162,64497,3520,3545,3218,8987,5126,11746,5742,6576,2953,13084,64497,5653,6121,8285,11002,4674,12175,5558,5591,5438
ACSSF,2010e1,co,000,0043,0000071,86366,4144,4302,4826,10552,9712,12312,10241,8694,5700,3537,2661,880,5628,3177,86366,1282,4380,6447,9041,13518,7816,18440,4182,5095,9575,4599,1991,86366,4144,4302,4826,10552,9712,12312,10241,8694,5700,15883,86366,5662,6447,9041,13518,7816,18440,9277,9575,6590
ACSSF,2010e1,co,000,0043,0000072,52112,2775,2726,4175,5340,4413,7702,4501,3739,2385,5654,1312,591,3297,3502,52112,774,2861,6346,7243,7258,4272,9651,871,3637,5532,2737,930,52112,2775,2726,4175,5340,4413,7702,4501,3739,2385,14356,52112,3635,6346,7243,7258,4272,9651,4508,5532,3667
ACSSF,2010e1,co,000,0043,0000073,47734,1512,2160,2589,3770,4996,7871,4899,2982,1596,5396,1459,802,4351,3351,47734,469,2683,7270,5997,6866,4624,9787,724,1889,5194,1435,796,47734,1512,2160,2589,3770,4996,7871,4899,2982,1596,15359,47734,3152,7270,5997,6866,4624,9787,2613,5194,2231
ACSSF,2010e1,co,000,0043,0000074,54058,1539,780,2186,4035,4768,8143,9340,7201,2672,7087,1204,309,2903,1891,54058,1267,5176,9626,8672,7589,4823,7927,1255,1738,4349,1094,542,54058,1539,780,2186,4035,4768,8143,9340,7201,2672,13394,54058,6443,9626,8672,7589,4823,7927,2993,4349,1636
ACSSF,2010e1,co,000,0043,0000075,65455,2566,3137,2729,5390,6271,10578,8959,6814,4930,4036,1767,568,4219,3491,65455,933,4875,8081,11676,11874,3535,12345,1810,3439,3535,2785,567,65455,2566,3137,2729,5390,6271,10578,8959,6814,4930,14081,65455,5808,8081,11676,11874,3535,12345,5249,3535,3352
ACSSF,2010e1,co,000,0043,0000076,45913,941,1039,2274,3839,4291,7320,7835,6012,2585,2577,1609,365,2104,3122,45913,798,4481,6872,7235,8121,2980,7179,1410,867,3267,1393,1310,45913,941,1039,2274,3839,4291,7320,7835,6012,2585,9777,45913,5279,6872,7235,8121,2980,7179,2277,3267,2703
ACSSF,2010e1,co,000,0043,0000077,57096,1426,593,1974,2720,6186,8021,8917,6013,6891,4607,1864,611,3532,3741,57096,1847,4342,7824,13958,10790,3880,7951,1460,1582,1393,1581,488,57096,1426,593,1974,2720,6186,8021,8917,6013,6891,14355,57096,6189,7824,13958,10790,3880,7951,3042,1393,2069
ACSSF,2010e1,co,000,0043,0000078,76674,1553,1436,2456,5278,6975,8465,9139,9958,4576,15602,2001,1188,3533,4514,76674,633,4678,9453,11898,14588,10045,10897,1287,1933,8714,1886,662,76674,1553,1436,2456,5278,6975,8465,9139,9958,4576,26838,76674,5311,9453,11898,14588,10045,10897,3220,8714,2548
ACSSF,2010e1,co,000,0043,0000079,47623,1923,1463,3318,4385,4237,6071,4672,5654,1910,3208,1522,1227,3330,4703,47623,520,2515,5375,10756,7951,2230,7707,1449,1515,4152,2015,1438,47623,1923,1463,3318,4385,4237,6071,4672,5654,1910,13990,47623,3035,5375,10756,7951,2230,7707,2964,4152,3453
ACSSF,2010e1,co,000,0043,0000080,52371,1903,2291,3105,4259,5540,7339,4462,6812,3476,3327,1482,1089,3022,4264,52371,1584,4583,5299,9731,8247,3566,10344,1770,1346,3460,1460,981,52371,1903,2291,3105,4259,5540,7339,4462,6812,3476,13184,52371,6167,5299,9731,8247,3566,10344,3116,3460,2441
