ACSSF,2010m1,co,000,0113,0000022,1885,3860,6414,5033,4648,8847,30524,92046,64397,.,3016,10539,.,7545,51263,28560,53591,.,4502,23075,3368,33266,3444,9127,9888,8407,3481,6663,3946,3685,.,5268,8611,4113,10185,12177,8977,2293,1879,12100,15117,26767,44043,.,.,60759,7124,7852,6436,9847,20284,21618,6880,15581,3544,3400,54645,.,54645,3377,12829,4999,3720,2945,2846,95829,.,88938,.,9177,23965,5711,17806
ACSSF,2010m1,co,000,0113,0000023,1048,2388,11732,7399,11223,7391,9000,6856,16318,17038,6553,38078,32279,11511,25943,4855,14462,35246,2267,2075,3507,28305,4867,7418,6052,42775,7021,6570,17888,6895,4524,10563,6720,3309,4905,5595,7238,1502,2359,4332,5069,5865,7475,14176,6989,31418,3309,7172,20011,6134,39389,9085,7820,4617,2077,11585,33811,3673,58731,1876,10894,5094,3915,3590,1574,11891,5338,17272,27496,6435,8182,20481,21544
ACSSF,2010m1,co,000,0113,0000024,2971,3613,8147,17225,21933,36060,4876,10007,1083,24393,21144,15513,84277,31157,61297,16580,25131,18163,8009,9748,29338,26031,2394,14001,5126,2986,7708,16524,11928,6625,.,8181,13451,14666,17282,7889,12605,3785,4092,6897,8680,12949,57729,194018,54641,73286,9246,21325,68723,8604,44268,7719,21529,47032,11787,17309,29771,14431,13489,1952,19485,22332,3595,2631,2864,.,.,.,.,5850,8342,.,37426
ACSSF,2010m1,co,000,0113,0000025,808,2903,5193,8950,9086,4445,11216,28106,11217,18057,10257,27447,71763,15008,19154,15970,43158,9912,2952,32064,18144,19953,7201,5106,4584,6608,4194,12133,9932,6924,.,6287,5147,3235,6769,8834,7399,2155,3235,5196,7209,7410,10918,18011,490,12165,7728,12166,9273,6822,5672,5544,16984,9305,2110,3055,11184,27270,5785,3193,2698,3923,2328,4494,3456,8898,.,21165,31045,4825,4191,9927,14014
ACSSF,2010m1,co,000,0113,0000026,2998,2418,9149,13391,22612,24089,16054,3533,21090,22037,5640,19542,234687,2037,36196,35314,14837,42345,5034,38785,27954,.,27954,5062,12260,33822,4487,13880,7495,47735,.,36300,37752,4864,5389,35555,25154,3955,4446,15733,22765,28179,20714,11556,51253,10688,5592,15980,41087,5522,14108,35402,58980,4691,3749,24176,.,.,.,5588,7193,18345,6605,6055,12147,.,.,.,.,87172,.,172905,.
ACSSF,2010m1,co,000,0113,0000027,2972,5166,6590,11649,7737,27230,4074,6302,37030,49387,11821,25077,146471,19719,40323,33550,44042,64882,11226,.,66379,.,56137,8620,18281,21698,13086,13729,10095,10718,.,36069,7579,12586,15877,26944,28268,5669,4138,6099,5034,11175,9580,10768,13175,23104,8313,57119,36971,13658,25851,3838,3690,59647,4444,17509,.,.,.,4248,.,14212,1528,1573,3914,.,.,.,.,69072,.,.,1853
ACSSF,2010m1,co,000,0113,0000028,1908,1636,4452,8194,9822,13141,10658,14401,14534,57934,6746,12858,47707,20121,18678,19920,13755,40682,1774,1932,25931,55291,15025,1955,3522,6617,4497,6859,4893,6038,1638,7460,7886,3393,6635,11225,4317,1367,2142,4697,11188,3791,7867,9812,12296,11926,3678,4001,12749,8615,8662,5916,4094,9763,2628,2737,8681,3131,.,1601,6742,3472,1880,4693,2341,15502,.,36332,17379,1745,3275,11207,1763
ACSSF,2010m1,co,000,0113,0000029,1808,2136,1293,4722,4854,3227,4352,4459,19512,36297,5701,38104,32814,6507,9541,15204,55762,47027,1647,20961,15736,5061,25372,2031,2008,3814,3841,7532,3598,2579,35716,2900,6752,5196,8232,9780,5909,935,2855,3604,3486,5352,5005,7425,6429,14684,3817,2357,13671,3756,6885,4719,3808,10177,1870,2096,25201,24773,59649,2042,1682,2320,1755,4556,2607,4378,.,7540,33116,2788,3684,7300,12719
ACSSF,2010m1,co,000,0113,0000030,2614,4465,6527,17091,15881,11895,16611,15261,13154,17697,16069,20329,87846,15642,24129,75981,92213,12908,6916,6290,46271,21844,89086,8350,10166,15005,11328,12766,16173,9085,208954,1708,16788,12819,10178,37950,2548,1646,4744,9260,13038,13821,35910,6224,103920,18517,5248,20886,18408,9280,21986,2693,4477,4778,1816,4088,.,.,.,2712,5491,2482,2620,4404,1808,174488,.,.,.,2745,2352,26170,9832
ACSSF,2010m1,co,000,0113,0000031,2644,3373,8227,21098,34532,26706,36756,77743,40662,.,7952,28462,53681,14687,50827,69795,182472,.,1134,.,100922,.,.,1238,4138,18755,8980,21441,12536,5403,37123,5321,30322,5625,13991,9743,10307,3654,5835,3057,1976,9378,27889,11828,26681,42227,4711,9967,2071,11581,13796,8070,10483,23357,3280,28118,1383,.,1303,2301,.,12942,6936,3173,6776,6717,.,2230,.,9479,7171,2214,23068
