ACSSF,2010e1,co,000,0113,0000022,27103,32294,51169,60162,61245,55938,41899,37088,82904,.,36769,36181,250001,37354,36196,75861,75255,.,17793,12217,40539,31250,40844,11339,12342,4764,24682,25220,24371,30696,.,28243,37520,31903,36657,27132,30663,23545,41241,41810,40403,61683,46688,.,.,68000,31356,40457,24704,30581,21397,51667,63828,37508,14255,22711,32256,.,32256,12219,13876,7072,18245,13784,20712,45435,2499,45245,.,26349,16732,30709,27863
ACSSF,2010e1,co,000,0113,0000023,31656,37180,53645,60709,59691,62994,70916,71581,65493,61285,38235,32021,50396,38088,20632,65057,66004,38517,21978,14472,47130,34578,48630,12273,26420,12489,35841,36542,28931,37279,28925,36077,49017,33740,34539,40418,25883,25870,40844,38347,35880,41535,67043,93633,67487,30896,40235,38480,50045,40086,40309,46442,51783,30514,12089,20480,16766,11080,50417,9919,17955,14823,22160,13619,26096,15419,15924,3515,23109,23875,24160,16699,25540
ACSSF,2010e1,co,000,0113,0000024,37217,41121,63729,62023,63587,61114,77024,84080,76246,68102,38360,41842,46746,16586,32500,61055,62054,49536,22253,11984,42288,40671,81789,4434,19622,25683,41019,42355,40149,34714,.,35356,31931,32887,51385,30262,18527,32062,51146,60033,60313,59057,87000,180019,60685,51276,36216,26607,66250,36744,11964,52469,54360,47577,20702,24494,27175,26242,56250,11569,40053,22273,28020,21695,29977,.,.,.,.,26228,27466,.,7421
ACSSF,2010e1,co,000,0113,0000025,31097,33774,55785,59707,63810,51342,60199,65706,47645,49714,50809,41094,137527,57675,41844,45806,75176,31238,21128,21154,42702,15524,55661,17401,20060,27000,31918,37493,25831,27419,.,22167,41887,31856,33451,32513,21804,27370,42330,49463,50822,46293,56277,55567,61234,37382,29766,36188,68688,26006,17198,41560,50447,39234,15111,21148,44677,41470,49196,12986,11944,12119,30013,20699,32474,26520,.,19620,40038,23774,21380,26317,24487
ACSSF,2010e1,co,000,0113,0000026,27431,31220,46114,60648,60452,61511,49605,45310,60354,66026,26885,15625,177064,26367,11155,100131,100767,45099,14949,32420,34450,.,34450,15282,12673,20259,22862,25857,21755,31471,.,44363,11816,22500,24457,25698,5000,23628,31132,50492,51830,39263,36709,64435,30740,28537,18811,19798,65299,15365,22889,44295,60601,30973,12023,22650,2499,2499,.,10947,13649,20226,17826,15716,22492,.,.,.,.,63750,.,81250,.
ACSSF,2010e1,co,000,0113,0000027,47558,54226,83899,90276,100612,74077,81585,80729,84227,120189,60687,47021,142045,60204,33056,201655,222807,62743,26479,.,90869,.,125565,12450,32025,12661,41074,51143,30919,47098,.,29576,49960,31768,38083,49206,28580,37284,51792,52035,51649,55734,55117,50176,69300,27953,43784,14534,57755,42706,47524,59707,59510,70589,16329,16742,2499,2499,.,17342,.,10938,31433,30961,31851,.,.,.,.,12157,.,.,10972
ACSSF,2010e1,co,000,0113,0000028,29193,35560,61670,62497,66634,56707,78670,81341,79707,65120,50324,49005,69981,46068,37431,65931,85476,20865,17563,19401,61594,40675,70392,15012,19111,8636,28381,28569,28357,27770,10951,22662,35667,22119,29018,22173,13515,24877,36458,40171,42571,39276,60997,67271,60216,26017,26793,25132,46021,29170,25612,46497,48460,35030,14109,24494,11777,11550,.,10830,15078,11787,24156,18344,27031,9659,.,25390,9729,15982,15490,21042,15761
ACSSF,2010e1,co,000,0113,0000029,34194,37301,61804,65237,68575,60713,66719,66543,66495,67933,46593,37820,98478,37711,43278,70246,100318,37643,18203,27091,27018,21343,72162,16129,17131,20640,33602,36504,31500,30694,17345,29043,37157,27151,34346,30422,22803,31388,49261,55744,61316,50715,58062,75451,55507,40159,35763,28066,51378,36443,35328,57190,60362,44470,13006,21572,20521,17277,38917,12575,11127,13509,26799,24140,27702,30695,.,24762,42401,21101,20639,27293,8516
ACSSF,2010e1,co,000,0113,0000030,27113,32835,50549,63178,71878,56395,50012,61930,56813,10938,32883,35034,100212,28130,14281,91420,140560,44317,15637,27832,45539,19708,67827,8231,20507,6988,26488,26892,26250,31715,120298,30983,48260,30895,36543,27637,12571,20808,34017,41510,40200,45020,35588,51260,50303,16430,21307,22063,60207,19904,12519,36563,36866,35988,12098,18595,2499,2499,.,10008,10498,13585,18803,11625,21281,75098,2499,.,.,22214,21694,30246,27500
ACSSF,2010e1,co,000,0113,0000031,26755,31174,50114,63305,66250,63305,73533,80621,72790,.,38595,50636,51433,38410,12301,63800,64127,.,20634,.,47481,.,.,20415,23467,10833,24570,31033,16739,30172,26533,27714,47168,31882,29764,39894,26153,24176,41523,40018,36675,46904,72039,94008,71053,12161,34365,35765,27384,33284,41380,51026,52237,48783,10601,13526,51442,2499,51755,8468,2499,17480,19410,13259,23435,4233,.,2896,.,26735,30925,10123,16974
ACSSF,2010e1,co,000,0113,0000032,55506,74382,88264,82460,100248,70443,98016,89016,106250,100038,47500,42215,101302,53182,13773,96311,161582,30179,58491,.,81386,81019,81472,5600,34033,56273,58113,62171,31096,37002,.,40985,32488,42468,70290,52077,7027,38819,52143,61230,71471,58668,72992,70683,100360,110047,27195,26261,49703,25394,21552,55983,57083,41603,11373,35349,.,.,.,8777,25023,9328,25179,24627,25853,70122,.,70122,.,11928,8488,.,.
ACSSF,2010e1,co,000,0113,0000033,32361,36688,63060,59308,63023,51094,66627,58311,76104,51875,45417,22636,177955,49082,13705,100703,122552,.,24500,23715,57841,31378,68614,21484,22739,9705,31663,31469,32661,30477,2499,30110,35799,34471,39298,36992,30646,30006,46937,51813,50923,57604,62272,71224,67093,61266,32296,42066,50616,30138,27696,47339,57828,36039,12080,20949,35000,22471,115023,10694,10475,9948,27498,21136,29713,25026,.,37800,.,25769,26944,19446,11578
ACSSF,2010e1,co,000,0113,0000034,32666,36991,65567,68173,93690,41553,79102,61146,95226,53493,40525,34123,130017,42055,17238,61615,61615,.,17413,32923,6294,6294,.,13686,18271,21419,32670,34025,25766,33473,.,33930,27983,31935,39613,31125,30714,24681,45977,61990,65428,49219,61491,58786,80903,49847,22201,53003,100114,22039,15443,51000,56719,27306,15106,12416,5852,5852,.,12349,20703,14131,24843,16071,26404,.,.,.,.,18597,14345,19296,.
ACSSF,2010e1,co,000,0113,0000035,35263,38198,54945,72558,73142,52465,52234,51432,71519,.,42248,62218,.,42298,41349,71361,71361,.,26240,.,71272,.,71582,25383,11955,14888,37353,40850,24529,31685,32579,36639,27431,32179,31963,35763,20325,31043,44176,50723,51507,50317,71582,80613,.,56419,36672,42536,.,35557,18511,50233,58277,36386,20451,26010,.,.,.,10921,73438,15482,26189,27083,26094,11019,.,11019,.,30101,30644,120231,2499
ACSSF,2010e1,co,000,0113,0000036,25778,30873,51578,60171,61403,56164,48882,.,48158,.,37066,36495,250001,40254,7415,62484,62484,.,19455,23080,47804,48896,44310,17139,12121,18059,24346,25366,24089,29559,.,27835,40740,30847,30182,26683,31189,21903,40295,41102,40643,61563,39795,.,.,38886,31987,41115,.,30225,.,41113,41973,31366,13333,20368,31572,.,31572,12576,14396,5636,17533,14240,19667,60649,.,2499,.,26354,7228,27219,28317
ACSSF,2010e1,co,000,0113,0000037,36430,40685,72517,75506,80342,70309,79940,79802,77407,100327,67951,45268,.,69724,72532,51089,66420,22090,26568,.,47688,11078,48951,13265,30243,16698,32592,36872,31038,39987,.,31345,44433,35097,36636,47680,26395,31704,43988,43195,52424,41431,50502,50728,.,50885,36737,21920,43750,36657,40363,51131,51340,46725,18771,27393,32626,32626,.,16027,19735,17554,31041,17183,32376,30000,.,22482,37516,22788,15596,47836,11413
