ACSSF,2010e1,co,000,0032,0000021,140946,101038,39908,117519,92971,24548,14526,4826,9700,3549,1528,2021,5250,1661,3589,102,52,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145083,118465,26516,16438,7603,8835,5686,1988,3698,2317,1275,1042,2075,102,,,,,,,,,,,,,,,,,,,,,,,,,,145083,118465,26516,7032,7032,0,19484,9406,10078,4563,5515,171,849,945,3550,102,0,0,102,145083,118465,26516,16438,7603,8835,5686,1988,3698,2317,2075,102,,,,,,,,,,,,,,,,,,,,,,145083,118465,26516,7032,19484,9406,10078,4563,5515,102,0,102
ACSSF,2010e1,co,000,0032,0000022,155492,106261,49231,124214,97912,26302,23122,5503,17619,4077,934,3143,3470,1428,2042,609,484,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158152,125746,31797,24018,17700,6318,5757,3875,1882,657,507,150,1365,609,,,,,,,,,,,,,,,,,,,,,,,,,,158152,125746,31797,17148,17148,0,14649,6870,7779,4309,3470,80,565,1237,1588,609,0,0,609,158152,125746,31797,24018,17700,6318,5757,3875,1882,657,1365,609,,,,,,,,,,,,,,,,,,,,,,158152,125746,31797,17148,14649,6870,7779,4309,3470,609,0,609
ACSSF,2010e1,co,000,0032,0000023,245013,181066,63947,206183,166252,39931,20649,5740,14909,10595,5512,5083,6546,2975,3571,1040,587,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250655,207155,42409,22559,14097,8462,16877,8027,8850,2070,737,1333,903,1091,,,,,,,,,,,,,,,,,,,,,,,,,,250655,207155,42409,12519,12519,0,29890,10040,19850,13023,6827,184,1216,2302,3125,1091,0,0,1091,250655,207155,42409,22559,14097,8462,16877,8027,8850,2070,903,1091,,,,,,,,,,,,,,,,,,,,,,250655,207155,42409,12519,29890,10040,19850,13023,6827,1091,0,1091
ACSSF,2010e1,co,000,0032,0000024,106772,79916,26856,90023,74968,15055,6543,2536,4007,6110,1834,4276,3468,236,3232,628,342,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106772,90023,16121,11279,919,10360,3622,2789,833,1163,302,861,57,628,,,,,,,,,,,,,,,,,,,,,,,,,,106772,90023,16121,4780,4541,239,11341,2002,9339,5871,3468,521,735,1728,484,628,0,0,628,106772,90023,16121,11279,919,10360,3622,2789,833,1163,57,628,,,,,,,,,,,,,,,,,,,,,,106772,90023,16121,4780,11341,2002,9339,5871,3468,628,0,628
ACSSF,2010e1,co,000,0032,0000025,318610,190312,128298,245322,169213,76109,37785,11244,26541,23008,5598,17410,9927,3411,6516,2568,846,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320916,246644,71704,58543,48867,9676,10252,5546,4706,2005,702,1303,904,2568,,,,,,,,,,,,,,,,,,,,,,,,,,320916,246644,71704,36954,33032,3922,34750,4955,29795,19573,10222,468,2180,2739,4835,2568,0,0,2568,320916,246644,71704,58543,48867,9676,10252,5546,4706,2005,904,2568,,,,,,,,,,,,,,,,,,,,,,320916,246644,71704,36954,34750,4955,29795,19573,10222,2568,0,2568
ACSSF,2010e1,co,000,0032,0000026,86063,44702,41361,62664,41930,20734,12760,772,11988,2789,251,2538,6333,1266,5067,1517,483,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96808,64998,30168,14939,11917,3022,14210,7461,6749,508,209,299,511,1642,,,,,,,,,,,,,,,,,,,,,,,,,,96808,64998,30168,11917,11917,0,18251,3022,15229,5896,9333,1943,2908,1930,2552,1642,0,0,1642,96808,64998,30168,14939,11917,3022,14210,7461,6749,508,511,1642,,,,,,,,,,,,,,,,,,,,,,96808,64998,30168,11917,18251,3022,15229,5896,9333,1642,0,1642
ACSSF,2010e1,co,000,0032,0000027,99446,83083,16363,86671,75689,10982,5678,3391,2287,4375,2371,2004,2056,1368,688,666,264,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99922,87004,12252,9263,1819,7444,2488,2359,129,236,236,0,265,666,,,,,,,,,,,,,,,,,,,,,,,,,,99922,87004,12252,1153,1153,0,11099,4572,6527,4423,2104,77,511,805,711,666,0,0,666,99922,87004,12252,9263,1819,7444,2488,2359,129,236,265,666,,,,,,,,,,,,,,,,,,,,,,99922,87004,12252,1153,11099,4572,6527,4423,2104,666,0,666
ACSSF,2010e1,co,000,0032,0000028,408680,251523,157157,318238,230807,87431,51868,13059,38809,5207,1332,3875,27295,5315,21980,6072,1010,5062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413870,320232,87261,52989,44003,8986,30348,13478,16870,1522,858,664,2402,6377,,,,,,,,,,,,,,,,,,,,,,,,,,413870,320232,87261,44003,44003,0,43258,8424,34834,5951,28883,1137,4934,11651,11161,6377,757,125,5495,413870,320232,87261,52989,44003,8986,30348,13478,16870,1522,2402,6377,,,,,,,,,,,,,,,,,,,,,,413870,320232,87261,44003,43258,8424,34834,5951,28883,6377,757,5620
ACSSF,2010e1,co,000,0032,0000029,579241,311262,267979,449108,280415,168693,70636,15066,55570,34441,9531,24910,21141,4713,16428,3915,1537,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595003,455034,135794,103142,82135,21007,27125,18602,8523,2721,1210,1511,2806,4175,,,,,,,,,,,,,,,,,,,,,,,,,,595003,455034,135794,73822,73822,0,61972,0,61972,38035,23937,3362,5658,5911,9006,4175,56,0,4119,595003,455034,135794,103142,82135,21007,27125,18602,8523,2721,2806,4175,,,,,,,,,,,,,,,,,,,,,,595003,455034,135794,73822,61972,0,61972,38035,23937,4175,56,4119
ACSSF,2010e1,co,000,0032,0000030,136431,79392,57039,100041,72613,27428,22883,4216,18667,4469,815,3654,8097,1696,6401,941,52,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143389,101180,41210,24451,22318,2133,14489,4652,9837,1239,855,384,1031,999,,,,,,,,,,,,,,,,,,,,,,,,,,143389,101180,41210,21538,21538,0,19672,2913,16759,7841,8918,456,2692,2293,3477,999,0,0,999,143389,101180,41210,24451,22318,2133,14489,4652,9837,1239,1031,999,,,,,,,,,,,,,,,,,,,,,,143389,101180,41210,21538,19672,2913,16759,7841,8918,999,0,999
