ACSSF,2010m1,co,000,0115,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000025,2801,1880,1380,1095,304,212,275,330,459,279,809,981,364,503,748,532,545,721,509,489,170,106,308,322,119,468,279,468,279,201,176,279,104,1007,457,457,63,282,117,141,184,789,119,654,239,596,279,73,71,526,279,84,119,257,869,684,60,269,671,279,175,537,1925,855,665,279,475,476,279,279,279,279,226,486,1223,491,1050,338,269,338,673,279,279,673,279,723,159,396,279,344,491,1864,991,479,168,322,603,456,279,390,1602,502,96,666,632,499,727,524,932,595,446,279,279,279,279,260,279,234,279,279,279,279,279,95,279,363,104,219,272,536,513,276,69,96,279,163,234,279,70,302,211,68,156,279,279,279,279,95,157,157,279
ACSSF,2010m1,co,000,0115,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000028,3594,2297,1553,1452,267,183,364,241,373,279,1156,979,248,760,538,449,262,589,467,467,119,285,129,382,279,387,279,321,208,138,138,279,279,1426,833,644,423,370,100,279,382,1005,298,880,335,794,268,65,145,543,475,396,164,276,1314,1051,209,510,852,221,238,551,1847,1047,787,287,510,322,279,279,279,279,71,313,1031,396,506,609,400,279,736,287,279,670,279,868,96,493,102,505,443,2415,1004,663,97,331,415,563,169,247,2230,493,279,411,588,777,874,534,700,878,291,279,279,279,279,172,279,279,279,279,279,279,279,172,279,218,279,279,218,920,756,105,306,343,279,279,204,279,279,443,264,150,279,279,279,214,279,279,444,444,279
ACSSF,2010m1,co,000,0115,0000029,3747,2940,2145,1581,429,792,537,341,342,279,992,1614,593,913,1172,1078,484,1259,619,612,474,338,106,323,76,666,279,478,331,663,441,365,113,1903,853,817,146,930,443,129,778,1445,678,995,200,890,299,154,225,463,961,396,257,824,1591,1530,406,327,1454,270,353,730,2095,697,629,81,414,402,93,279,279,279,99,374,1288,281,700,952,187,514,913,287,279,854,279,1079,110,488,279,749,541,2598,1780,348,438,702,770,583,530,690,2196,579,109,673,395,877,853,634,925,818,671,343,279,343,279,306,279,121,143,279,122,83,279,279,202,283,109,108,283,935,829,279,176,434,279,136,589,279,279,378,360,279,226,279,176,218,279,89,314,306,73
ACSSF,2010m1,co,000,0115,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000040,3594,2297,1553,1452,267,183,364,241,373,279,1156,979,248,760,538,449,262,589,467,467,119,285,129,382,279,387,279,321,208,138,138,279,279,1426,833,644,423,370,100,279,382,1005,298,880,335,794,268,65,145,543,475,396,164,276,1314,1051,209,510,852,221,238,551,1847,1047,787,287,510,322,279,279,279,279,71,313,1031,396,506,609,400,279,736,287,279,670,279,868,96,493,102,505,443,2415,1004,663,97,331,415,563,169,247,2230,493,279,411,588,777,874,534,700,878,291,279,279,279,279,172,279,279,279,279,279,279,279,172,279,218,279,279,218,920,756,105,306,343,279,279,204,279,279,443,264,150,279,279,279,214,279,279,444,444,279
ACSSF,2010m1,co,000,0115,0000041,2801,1880,1380,1095,304,212,275,330,459,279,809,981,364,503,748,532,545,721,509,489,170,106,308,322,119,468,279,468,279,201,176,279,104,1007,457,457,63,282,117,141,184,789,119,654,239,596,279,73,71,526,279,84,119,257,869,684,60,269,671,279,175,537,1925,855,665,279,475,476,279,279,279,279,226,486,1223,491,1050,338,269,338,673,279,279,673,279,723,159,396,279,344,491,1864,991,479,168,322,603,456,279,390,1602,502,96,666,632,499,727,524,932,595,446,279,279,279,279,260,279,234,279,279,279,279,279,95,279,363,104,219,272,536,513,276,69,96,279,163,234,279,70,302,211,68,156,279,279,279,279,95,157,157,279
ACSSF,2010m1,co,000,0115,0000042,3747,2940,2145,1581,429,792,537,341,342,279,992,1614,593,913,1172,1078,484,1259,619,612,474,338,106,323,76,666,279,478,331,663,441,365,113,1903,853,817,146,930,443,129,778,1445,678,995,200,890,299,154,225,463,961,396,257,824,1591,1530,406,327,1454,270,353,730,2095,697,629,81,414,402,93,279,279,279,99,374,1288,281,700,952,187,514,913,287,279,854,279,1079,110,488,279,749,541,2598,1780,348,438,702,770,583,530,690,2196,579,109,673,395,877,853,634,925,818,671,343,279,343,279,306,279,121,143,279,122,83,279,279,202,283,109,108,283,935,829,279,176,434,279,136,589,279,279,378,360,279,226,279,176,218,279,89,314,306,73
ACSSF,2010m1,co,000,0115,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000047,4144,3249,2374,1639,429,792,517,371,375,279,1049,1853,593,912,1502,1378,491,1365,758,754,551,343,148,344,76,666,279,478,331,663,441,365,113,2002,941,909,146,929,443,129,776,1515,685,1035,212,900,299,154,243,480,1180,398,257,1034,1609,1536,412,372,1445,270,386,762,2119,744,642,81,430,414,93,279,279,279,99,387,1309,342,703,963,187,514,997,287,279,939,279,1105,110,488,279,748,608,2840,1908,400,438,702,830,604,658,696,2341,602,109,673,388,928,853,649,1074,846,671,343,279,343,279,306,279,121,143,279,122,83,279,279,202,283,109,108,283,944,813,218,176,434,279,136,606,279,279,378,398,279,248,279,176,218,279,166,314,306,73
ACSSF,2010m1,co,000,0115,0000048,4365,3315,2208,1542,716,370,654,318,485,251,1383,1593,570,824,1297,1063,600,1239,895,882,317,701,158,602,180,364,150,303,102,733,532,223,390,1768,732,705,201,652,421,279,468,1268,490,1147,447,921,417,121,234,507,925,692,563,502,1397,1098,266,262,970,192,504,897,1950,724,271,279,674,678,164,113,279,100,391,377,1060,293,765,429,474,350,860,222,279,784,284,1107,185,798,347,351,687,3452,2065,718,396,749,1238,623,579,821,2551,752,279,688,751,1036,1167,824,1139,915,381,27,27,279,279,136,129,279,279,50,279,279,279,279,279,332,84,279,321,1086,915,385,346,333,144,275,639,279,279,461,572,94,474,279,205,80,279,279,348,348,279
ACSSF,2010m1,co,000,0115,0000049,4255,2636,1820,1586,543,229,299,490,446,205,1159,851,95,447,778,603,530,456,219,219,100,149,102,158,279,230,86,164,147,446,347,224,155,2142,1081,1051,108,567,188,121,528,1327,238,1287,380,1098,358,157,294,424,591,438,226,378,1443,1218,257,403,996,144,454,923,2252,1009,865,99,419,454,279,23,253,279,384,107,1237,307,455,985,314,279,567,152,279,485,193,1460,261,785,446,510,941,2656,1665,1099,351,699,418,555,240,364,2176,483,258,417,635,781,816,943,1124,854,499,147,279,147,279,454,127,279,34,279,282,279,180,214,279,185,279,279,185,997,668,114,190,266,124,33,129,279,279,531,308,94,86,279,279,227,279,187,681,681,279
