ACSSF,2010m1,co,000,0021,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6595,279,385,497,558,1453,1541,3138,432,1989,989,4444,342,622,4271,2190,108,1842,1359,281,749,1031,1635,112,126,1173,1384,154,969,279,5329
ACSSF,2010m1,co,000,0021,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8924,279,497,775,1271,1620,2183,4618,585,2637,1192,5724,381,783,4737,3035,144,2290,2041,343,1340,1872,1799,526,126,2120,1464,194,1168,531,7869
ACSSF,2010m1,co,000,0021,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6092,279,120,384,939,609,1197,2760,398,1635,802,5117,321,302,3526,2083,175,1146,876,185,737,1053,1284,486,1668,1198,846,276,731,319,6335
ACSSF,2010m1,co,000,0021,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6803,279,555,651,959,1385,1389,3572,744,1932,895,4832,856,824,3659,3008,283,1778,2032,419,1159,1220,1611,381,613,2748,792,560,767,174,7124
ACSSF,2010m1,co,000,0021,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695,279,425,842,688,562,866,3061,1166,1657,389,4423,391,852,3988,2361,383,1305,1501,307,1196,683,1880,531,275,1812,673,164,723,398,4443
ACSSF,2010m1,co,000,0021,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5116,279,841,492,1244,703,1116,3825,925,2358,699,4609,644,628,3743,2085,413,1162,1688,733,1265,615,1513,231,1189,1499,693,762,1079,305,5306
ACSSF,2010m1,co,000,0021,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6473,279,423,1092,1138,1211,1425,4116,724,2721,984,4625,997,817,4550,3348,271,1421,1576,548,1584,1264,1700,448,512,1919,632,244,1379,122,5275
ACSSF,2010m1,co,000,0021,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8745,279,1868,681,1803,1912,2158,4219,777,3551,910,6417,461,1251,5557,2723,601,2744,2865,719,1914,1258,3801,873,531,2367,821,472,2292,558,8698
ACSSF,2010m1,co,000,0021,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7989,279,618,859,870,1266,1666,4526,791,2429,568,5117,621,599,4762,2989,622,1647,3030,234,1528,1408,1335,502,216,1645,618,382,1259,279,6294
ACSSF,2010m1,co,000,0021,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6339,279,262,973,978,1673,1722,3785,1168,1743,1369,4831,572,743,3944,2439,609,2514,1499,808,845,596,1418,233,192,2710,984,781,997,494,4507
ACSSF,2010m1,co,000,0021,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4546,279,279,213,413,1222,870,2368,474,1538,363,3920,143,238,2486,1332,279,930,941,120,521,1964,1152,75,279,1137,248,110,1104,279,2357
