ACSSF,2010e1,co,000,0107,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0107,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0107,0000023,118678,63528,17411,8596,6833,1077,159,267,51,376,421,4482,1763,110,969,684,164,520,3898,1551,1513,211,660,181,461,38,2120,94,1329,697,227,77,0,150,3471,400,205,195,533,211,75,247,1971,421,1180,64,452,664,0,112,258,567,252,226,89,1446,1270,354,97,231,0,588,176,9202,112,112,0,0,2184,115,0,0,470,833,766,3963,336,1718,877,491,541,2154,161,313,954,726,789,311,0,0,96,382,10811,7048,1563,504,269,2939,609,673,491,3763,370,0,168,0,251,761,1834,34,345,13988,1216,85,1131,0,9387,1787,1267,2624,1085,136,393,996,301,798,3385,319,1238,1828,12116,4623,662,337,696,1070,0,71,0,197,1590,4362,294,145,62,216,3221,360,64,3131,2313,818
ACSSF,2010e1,co,000,0107,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0107,0000025,155674,82985,20178,7999,4790,1138,215,227,222,601,44,2343,3209,137,1783,1289,893,396,6575,4045,3950,736,1461,442,1311,95,1795,150,938,707,735,495,86,154,3340,452,220,232,93,93,0,0,1435,278,472,0,362,110,0,0,685,1360,423,406,531,2264,1189,44,290,576,0,279,1075,12790,402,347,0,55,2250,144,0,297,101,891,817,5522,441,3347,511,643,580,3220,0,261,2195,764,1396,86,468,174,0,668,14468,6939,1749,476,1122,1273,1099,613,607,7529,499,235,93,173,304,1716,3604,250,655,19442,121,0,121,0,13430,1613,2669,2112,287,1588,899,3481,715,66,5891,640,1782,3469,16107,6235,758,671,1072,670,318,370,230,134,2012,7610,112,331,0,981,4968,824,394,2262,1718,544
ACSSF,2010e1,co,000,0107,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0107,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0107,0000028,195102,98885,38426,17398,12137,1893,551,1002,214,2417,56,6004,5261,132,3157,1972,776,1196,11102,6698,6557,1314,2856,707,1680,141,3551,300,2585,666,853,605,64,184,7514,1121,592,529,959,911,48,0,3219,766,1563,0,825,607,131,137,753,2215,440,1073,702,2412,1800,467,409,291,78,555,612,13549,1034,227,0,807,2823,0,0,0,790,919,1114,4845,616,2187,943,564,535,3271,59,324,1954,934,1576,256,51,52,352,865,17884,10191,2337,1324,653,2408,1185,399,1885,7693,1037,0,450,173,577,1315,2867,46,1228,14292,375,0,239,136,8620,1108,1429,2078,560,900,410,1768,202,165,5297,588,1691,3018,14734,6051,421,541,233,1009,497,945,457,180,1768,5726,69,592,236,321,3759,434,315,2957,2752,205
ACSSF,2010e1,co,000,0107,0000029,301802,161274,63160,27425,18725,2689,1963,1565,287,1482,43,10696,8700,479,3532,4689,2444,2245,15365,7416,7362,958,3997,584,1823,54,6146,1190,4429,527,1803,1116,293,394,15778,1541,1006,535,3498,2853,123,522,5710,1916,2418,165,1304,949,0,500,876,5029,1764,1551,1714,4592,3613,1986,494,279,0,854,979,24976,979,233,0,746,4018,141,141,48,450,681,2557,10962,1206,4790,2213,1964,789,6615,338,582,3288,2407,2402,259,469,231,58,1385,33256,20570,2220,1501,2427,4201,4077,3239,2905,12686,1151,141,944,354,1743,2173,4809,400,971,21018,197,0,197,0,14665,1036,1573,3935,1293,1096,1100,3605,690,337,6156,582,2994,2580,18864,7837,431,936,592,1141,872,353,325,262,2925,6194,66,424,136,953,3836,722,57,4833,3777,1056
ACSSF,2010e1,co,000,0107,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
