ACSSF,2010m1,co,000,0055,0000011,1889,1097,304,239,297,219,10,342,367,469,212,286,209,212,178,404,538,247,1317,3641,2454,785,748,993,955,778,788,830,842,742,1157,794,828,788,899,1746,787,3805,2012,2108,874,472,503,603,964,577,713,767,653,609,597,560,541,907,1217,91,2379,1889,1097,383,770,572,573,1317,3641,2454,1204,1600,1206,1968,3805,2012,2108,965,1380,1209,1214,2379
ACSSF,2010m1,co,000,0055,0000012,2485,1473,330,331,413,219,99,343,371,505,212,306,551,273,212,425,818,248,1804,3360,3081,1120,873,1235,1193,932,1015,979,1027,1057,1448,930,1260,1126,1138,2799,1181,3530,1687,2277,985,734,638,747,1025,690,768,777,904,884,716,821,775,1064,1430,126,2416,2485,1473,526,838,757,836,1804,3360,3081,1456,1655,1574,2883,3530,1687,2277,1174,1543,1313,1455,2416
ACSSF,2010m1,co,000,0055,0000013,2675,1521,344,225,258,98,223,249,145,291,167,400,195,186,383,284,296,329,1556,970,1856,771,781,502,887,907,707,776,900,873,733,918,585,742,785,1564,617,2033,1066,2070,944,1149,1123,1178,764,900,1142,899,990,1026,773,829,836,821,1519,339,2057,2675,1521,427,855,590,432,1556,970,1856,1231,1157,1263,1688,2033,1066,2070,1479,1651,1325,1481,2057
ACSSF,2010m1,co,000,0055,0000014,3598,2520,446,574,666,378,371,236,545,453,463,372,469,544,375,358,763,643,1904,1123,2465,916,811,1221,1085,1041,845,768,812,935,941,827,976,807,846,1822,1105,2536,950,1693,808,777,844,607,931,702,854,721,815,836,478,679,631,790,1191,469,1913,3598,2520,829,1369,1274,958,1904,1123,2465,1057,1209,876,2088,2536,950,1693,1061,1102,875,1235,1913
ACSSF,2010m1,co,000,0055,0000015,1998,1094,283,262,218,317,60,323,236,179,155,283,279,127,205,265,639,125,1530,556,2455,740,657,554,514,895,650,522,698,594,547,488,663,566,900,2283,1804,2402,552,1156,509,479,634,387,515,467,309,329,598,335,621,615,287,676,636,299,1017,1998,1094,425,747,350,659,1530,556,2455,983,993,820,2428,2402,552,1156,677,662,617,693,1017
ACSSF,2010m1,co,000,0055,0000016,2890,1919,311,224,693,240,311,477,317,489,170,182,194,363,195,130,517,357,1864,1134,3508,1051,732,687,572,612,529,471,471,420,544,672,341,459,717,2699,2143,3092,1133,2440,1085,1030,1078,766,1114,965,869,830,957,867,825,927,1044,1063,1308,579,2311,2890,1919,391,1401,549,639,1864,1134,3508,1107,988,842,3357,3092,1133,2440,1392,1371,1471,1415,2311
ACSSF,2010m1,co,000,0055,0000017,1676,1167,397,236,360,407,307,339,279,198,237,253,355,279,279,222,316,279,1067,1024,1998,1179,893,963,1137,833,830,681,995,1189,841,923,843,926,783,1326,1248,2002,514,634,412,305,363,225,253,302,211,303,385,304,394,197,340,246,642,166,603,1676,1167,413,746,439,316,1067,1024,1998,1482,1210,1304,1731,2002,514,634,473,372,257,646,603
ACSSF,2010m1,co,000,0055,0000018,4026,3009,435,554,661,590,584,464,476,332,540,682,435,320,262,465,1243,156,2047,1512,3394,1157,1136,1155,1170,1333,1183,1398,1036,1077,922,1195,984,931,1144,2763,1524,3144,607,1433,624,663,636,947,837,933,760,511,654,736,439,508,785,568,1375,221,1475,4026,3009,726,2032,877,1270,2047,1512,3394,1588,1484,1228,3122,3144,607,1433,922,762,697,1383,1475
ACSSF,2010m1,co,000,0055,0000019,1804,1274,229,341,137,290,181,141,325,250,77,242,328,193,245,288,686,237,1099,1108,2299,1086,753,986,875,1126,931,948,1161,947,839,952,956,874,1016,2230,1240,2615,551,1518,725,661,603,630,493,695,754,441,445,488,628,395,480,422,1112,304,1484,1804,1274,402,527,550,802,1099,1108,2299,1482,1444,1157,2235,2615,551,1518,912,833,713,1232,1484
ACSSF,2010m1,co,000,0055,0000020,1241,864,118,86,183,146,226,183,195,154,278,502,383,210,143,204,301,279,730,1002,2684,1290,803,911,817,979,898,815,789,724,644,741,726,718,830,2303,1064,2577,498,1118,453,282,228,522,604,325,246,486,509,664,499,215,563,557,964,429,1088,1241,864,152,721,533,301,730,1002,2684,1411,1084,1023,2462,2577,498,1118,559,740,848,1101,1088
ACSSF,2010m1,co,000,0055,0000021,,,,,,,,,,,,,,,,,,,,803,2241,870,721,654,829,660,510,481,885,549,490,658,338,543,564,1904,529,2010,333,1202,646,375,217,376,294,488,308,365,279,246,439,279,187,408,517,93,1236,1370,1062,586,602,190,533,615,803,2241,1007,1000,889,1826,2010,333,1202,682,435,554,532,1236
ACSSF,2010m1,co,000,0055,0000022,,,,,,,,,,,,,,,,,,,,652,1204,375,621,494,646,463,658,732,359,335,461,418,400,445,469,1206,673,1268,598,1263,792,599,635,748,473,485,656,564,269,796,543,615,397,593,1005,356,1237,1762,1034,107,735,700,384,1075,652,1204,709,879,411,1297,1268,598,1263,999,990,922,994,1237
ACSSF,2010m1,co,000,0055,0000023,,,,,,,,,,,,,,,,,,,,945,1901,810,1010,681,762,641,622,825,805,612,720,573,705,518,682,1459,707,2052,820,1186,701,660,528,593,594,789,900,626,649,576,498,513,441,748,762,120,1242,2077,1307,408,921,413,467,1039,945,1901,1161,1212,789,1587,2052,820,1186,941,928,808,784,1242
